model,word,tokens,word_char_length,subtoken_count,is_split,subtoken_count_per_char,avg_subtoken_char_length,min_subtoken_char_length,max_subtoken_char_length,subtoken_char_total,content_subtoken_count
xlmr,atatürkçülerden,▁ata türk çü lerden,15,4,True,0.26666666666666666,3.75,2,6,15,4
xlmr,barıştırılırken,▁bar ıştır ılır ken,15,4,True,0.26666666666666666,3.75,3,5,15,4
xlmr,başıboş,▁ başı bo ş,7,4,True,0.5714285714285714,2.3333333333333335,1,4,7,3
xlmr,biçimlendirilmişlerdir,▁biçim lendir ilmiş lerdir,22,4,True,0.18181818181818182,5.5,5,6,22,4
xlmr,cezalandırışı,▁ceza landı r ışı,13,4,True,0.3076923076923077,3.25,1,5,13,4
xlmr,ebediyeten,▁e bed iyet en,10,4,True,0.4,2.5,1,4,10,4
xlmr,gençmişçesine,▁genç miş çe sine,13,4,True,0.3076923076923077,3.25,2,4,13,4
xlmr,gülümseme,▁gül üm se me,9,4,True,0.4444444444444444,2.25,2,3,9,4
xlmr,gürültü,▁g ürü l tü,7,4,True,0.5714285714285714,1.75,1,3,7,4
xlmr,korumaktaydılar,▁koruma k tay dılar,15,4,True,0.26666666666666666,3.75,1,6,15,4
xlmr,maymungilleri,▁may mung iller i,13,4,True,0.3076923076923077,3.25,1,5,13,4
xlmr,maymunsuları,▁may mun su ları,12,4,True,0.3333333333333333,3.0,2,4,12,4
xlmr,peşinatsız,▁pe şin at sız,10,4,True,0.4,2.5,2,3,10,4
xlmr,primatçaları,▁prima t ça ları,12,4,True,0.3333333333333333,3.0,1,5,12,4
xlmr,pıhtı,▁p ı h tı,5,4,True,0.8,1.25,1,2,5,4
