stimulus_row_id,triplet_id,vowel_class,category,primary_suffix,secondary_suffix,root_A,root_B,A_x,A_y,B_x,zipf_A,zipf_B,zipf_diff,BERTurk_all_split,BERTurk_shared_final_subtoken,model,model_name,layer,pooling,A_x_model_ntokens,A_y_model_ntokens,B_x_model_ntokens,all_three_words_split_model,sim_same_root,sim_same_suffix,delta
18,T018,ince,light_deriv,WITH,PLURAL,köpek,çiçek,köpekli,köpekler,çiçekli,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.8156567004194115,0.4562445584155712,0.3594121420038403
19,T019,ince,light_deriv,WITH,PLURAL,gemi,ekmek,gemili,gemiler,ekmekli,4.91,4.81,0.1,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.7739690559414333,0.3522298532159246,0.4217392027255087
20,T020,ince,light_deriv,WITH,PLURAL,göz,deniz,gözlü,gözler,denizli,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,2,False,0.5489920565116663,0.27862013559022203,0.27037192092144424
21,T021,ince,light_deriv,NOMINAL,PLURAL,ev,göz,evlik,evler,gözlük,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,1,False,0.4094310700490492,0.3375668350410672,0.071864235007982
22,T022,ince,light_deriv,NOMINAL,PLURAL,deniz,şehir,denizlik,denizler,şehirlik,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9934392025740134,0.38425933122158074,0.6091798713524327
23,T023,ince,light_deriv,NOMINAL,PLURAL,köpek,çiçek,köpeklik,köpekler,çiçeklik,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.8191457208184393,0.46286934563209825,0.35627637518634103
24,T024,ince,light_deriv,NOMINAL,PLURAL,gemi,ekmek,gemilik,gemiler,ekmeklik,4.91,4.81,0.1,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.7708293047997539,0.3573914378561138,0.41343786694364004
25,T025,ince,light_deriv,NOMINAL,PLURAL,göz,deniz,gözlük,gözler,denizlik,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,2,False,0.43856866624514745,0.34591874576009374,0.09264992048505372
26,T026,ince,strong_deriv,WITHOUT,PLURAL,ev,göz,evsiz,evler,gözsüz,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.6155571297986614,0.38075511756878044,0.23480201222988095
27,T027,ince,strong_deriv,WITHOUT,PLURAL,deniz,şehir,denizsiz,denizler,şehirsiz,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9749620903964366,0.37509991180457947,0.5998621785918571
28,T028,ince,strong_deriv,WITHOUT,PLURAL,köpek,çiçek,köpeksiz,köpekler,çiçeksiz,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.8122994518123205,0.4627043792916897,0.3495950725206308
29,T029,ince,strong_deriv,WITHOUT,PLURAL,gemi,ekmek,gemisiz,gemiler,ekmeksiz,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.6933749217860897,0.3238655147777475,0.3695094070083422
30,T030,ince,strong_deriv,WITHOUT,PLURAL,göz,deniz,gözsüz,gözler,denizsiz,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.6196674117023568,0.3633872791852103,0.25628013251714654
31,T001,kalın,inflectional,PLURAL,LOCATIVE,kitap,okul,kitaplar,kitapta,okullar,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.7133275555510201,0.5634847090548383,0.14984284649618185
32,T002,kalın,inflectional,PLURAL,LOCATIVE,kalp,taş,kalplar,kalpta,taşlar,5.14,5.13,0.01,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,1,False,0.9955807242856404,0.3637427838620382,0.6318379404236022
33,T003,kalın,inflectional,PLURAL,LOCATIVE,kapı,ayak,kapılar,kapıda,ayaklar,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.5486163831403185,0.38236113289180307,0.1662552502485154
34,T004,kalın,inflectional,PLURAL,LOCATIVE,kafa,masa,kafalar,kafada,masalar,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9894354264466989,0.2664532053562729,0.722982221090426
35,T005,kalın,inflectional,PLURAL,LOCATIVE,okul,kalp,okullar,okulda,kalplar,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,2,False,0.6936085828006324,0.3314358377179404,0.36217274508269204
36,T006,kalın,inflectional,LOCATIVE,PLURAL,kitap,okul,kitapta,kitaplar,okulda,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.7133275555510201,0.5597657687282501,0.15356178682277
37,T007,kalın,inflectional,LOCATIVE,PLURAL,kalp,taş,kalpta,kalplar,taşta,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9955807242856404,0.35716814815226905,0.6384125761333713
38,T008,kalın,inflectional,LOCATIVE,PLURAL,kapı,ayak,kapıda,kapılar,ayakta,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.5486163831403185,0.44892464475181915,0.09969173838849932
39,T009,kalın,inflectional,LOCATIVE,PLURAL,kafa,masa,kafada,kafalar,masada,4.93,4.56,0.37,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,1,False,0.9894354264466989,0.31941457621000835,0.6700208502366906
40,T010,kalın,inflectional,LOCATIVE,PLURAL,okul,kalp,okulda,okullar,kalpta,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,2,False,0.6936085828006324,0.317196609219652,0.37641197358098044
41,T011,kalın,inflectional,ABLATIVE,PLURAL,kitap,okul,kitaptan,kitaplar,okuldan,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.693242499886874,0.5231965431042033,0.17004595678267076
42,T012,kalın,inflectional,ABLATIVE,PLURAL,kalp,taş,kalptan,kalplar,taştan,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9939791543896387,0.3609470523403079,0.6330321020493308
43,T013,kalın,inflectional,ABLATIVE,PLURAL,kapı,ayak,kapıdan,kapılar,ayaktan,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,2,False,0.6454588262648617,0.3903060370991127,0.255152789165749
44,T014,kalın,inflectional,ABLATIVE,PLURAL,kafa,masa,kafadan,kafalar,masadan,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9923221203646406,0.32241616330031264,0.669905957064328
45,T015,kalın,inflectional,ABLATIVE,PLURAL,okul,kalp,okuldan,okullar,kalptan,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,2,False,0.6579095232436605,0.27488667701242087,0.3830228462312396
46,T016,kalın,light_deriv,WITH,PLURAL,kitap,okul,kitaplı,kitaplar,okullu,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.8037258786787896,0.5031764747073171,0.30054940397147256
47,T017,kalın,light_deriv,WITH,PLURAL,kalp,taş,kalplı,kalplar,taşlı,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9943312307573944,0.3475905324694677,0.6467406982879267
48,T018,kalın,light_deriv,WITH,PLURAL,kapı,ayak,kapılı,kapılar,ayaklı,5.04,4.98,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.7690439026799933,0.4039651078907802,0.3650787947892131
49,T019,kalın,light_deriv,WITH,PLURAL,kafa,masa,kafalı,kafalar,masalı,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9922486352354042,0.26328631810250225,0.7289623171329019
50,T020,kalın,light_deriv,WITH,PLURAL,okul,kalp,okullu,okullar,kalplı,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.7738839330466125,0.32819533677347623,0.4456885962731363
51,T021,kalın,light_deriv,NOMINAL,PLURAL,kitap,okul,kitaplık,kitaplar,okulluk,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.8082525038075463,0.5176219075768489,0.2906305962306974
52,T022,kalın,light_deriv,NOMINAL,PLURAL,kalp,taş,kalplık,kalplar,taşlık,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9957060653877644,0.36001757885677765,0.6356884865309868
53,T023,kalın,light_deriv,NOMINAL,PLURAL,kapı,ayak,kapılık,kapılar,ayaklık,5.04,4.98,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.7637770179015715,0.3993122525479189,0.3644647653536526
54,T024,kalın,light_deriv,NOMINAL,PLURAL,kafa,masa,kafalık,kafalar,masalık,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9927543648186321,0.2666599792013342,0.7260943856172979
55,T025,kalın,light_deriv,NOMINAL,PLURAL,okul,kalp,okulluk,okullar,kalplık,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.7895101825481345,0.337628597429771,0.4518815851183635
56,T026,kalın,strong_deriv,WITHOUT,PLURAL,kitap,okul,kitapsız,kitaplar,okulsuz,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.8106706844806675,0.5205991588368705,0.290071525643797
57,T027,kalın,strong_deriv,WITHOUT,PLURAL,kalp,taş,kalpsız,kalplar,taşsız,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.985336013165625,0.34269999793963213,0.6426360152259929
58,T028,kalın,strong_deriv,WITHOUT,PLURAL,kapı,ayak,kapısız,kapılar,ayaksız,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.692841754285554,0.35848135386236135,0.3343604004231926
59,T029,kalın,strong_deriv,WITHOUT,PLURAL,kafa,masa,kafasız,kafalar,masasız,4.93,4.56,0.37,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.7441026582253901,0.4158328116027272,0.3282698466226629
60,T030,kalın,strong_deriv,WITHOUT,PLURAL,okul,kalp,okulsuz,okullar,kalpsız,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.7768720348277436,0.31616283110275,0.4607092037249936
1,T001,ince,inflectional,PLURAL,LOCATIVE,ev,göz,evler,evde,gözler,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.5346412384505639,0.34228998784780007,0.1923512506027638
2,T002,ince,inflectional,PLURAL,LOCATIVE,deniz,şehir,denizler,denizde,şehirler,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,1,False,0.2807304571922731,0.37132822431164314,-0.09059776711937007
3,T003,ince,inflectional,PLURAL,LOCATIVE,köpek,çiçek,köpekler,köpekte,çiçekler,4.98,4.92,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,2,1,False,0.24671653149869643,0.4717147776725312,-0.2249982461738348
4,T004,ince,inflectional,PLURAL,LOCATIVE,gemi,ekmek,gemiler,gemide,ekmekler,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,2,False,0.7086213033063935,0.366538454441933,0.3420828488644605
5,T005,ince,inflectional,PLURAL,LOCATIVE,göz,deniz,gözler,gözde,denizler,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,2,False,0.4785414891300891,0.3297942031044159,0.14874728602567322
6,T006,ince,inflectional,LOCATIVE,PLURAL,ev,göz,evde,evler,gözde,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.5346412384505639,0.36142670105264263,0.17321453739792125
7,T007,ince,inflectional,LOCATIVE,PLURAL,deniz,şehir,denizde,denizler,şehirde,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,2,1,False,0.2807304571922731,0.42485111318264657,-0.1441206559903735
8,T008,ince,inflectional,LOCATIVE,PLURAL,köpek,çiçek,köpekte,köpekler,çiçekte,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.24671653149869643,0.987312372693435,-0.7405958411947385
9,T009,ince,inflectional,LOCATIVE,PLURAL,gemi,ekmek,gemide,gemiler,ekmekte,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,2,False,0.7086213033063935,0.27361458760749713,0.4350067156988964
10,T010,ince,inflectional,LOCATIVE,PLURAL,göz,deniz,gözde,gözler,denizde,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.4785414891300891,0.40535004999900437,0.07319143913108472
11,T011,ince,inflectional,ABLATIVE,PLURAL,ev,göz,evden,evler,gözden,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.5568347929588877,0.3410885462935169,0.2157462466653708
12,T012,ince,inflectional,ABLATIVE,PLURAL,deniz,şehir,denizden,denizler,şehirden,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,2,1,False,0.31299821325771315,0.48313908001321715,-0.170140866755504
13,T013,ince,inflectional,ABLATIVE,PLURAL,köpek,çiçek,köpekten,köpekler,çiçekten,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.28048003508371344,0.9742464692454271,-0.6937664341617137
14,T014,ince,inflectional,ABLATIVE,PLURAL,gemi,ekmek,gemiden,gemiler,ekmekten,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.3247186271468392,0.5167903287482818,-0.1920717016014426
15,T015,ince,inflectional,ABLATIVE,PLURAL,göz,deniz,gözden,gözler,denizden,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.4711366557946314,0.34996139215952415,0.12117526363510722
16,T016,ince,light_deriv,WITH,PLURAL,ev,göz,evli,evler,gözlü,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.41480654539381656,0.3086426216315412,0.10616392376227535
17,T017,ince,light_deriv,WITH,PLURAL,deniz,şehir,denizli,denizler,şehirli,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,2,2,True,0.5943629804203558,0.9907049522933048,-0.39634197187294895
18,T018,ince,light_deriv,WITH,PLURAL,köpek,çiçek,köpekli,köpekler,çiçekli,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.26817952656640665,0.9845889076917846,-0.716409381125378
19,T019,ince,light_deriv,WITH,PLURAL,gemi,ekmek,gemili,gemiler,ekmekli,4.91,4.81,0.1,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.29983620283338497,0.9809293510100415,-0.6810931481766566
20,T020,ince,light_deriv,WITH,PLURAL,göz,deniz,gözlü,gözler,denizli,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,2,False,0.5489920565116663,0.3279417528824369,0.2210503036292294
21,T021,ince,light_deriv,NOMINAL,PLURAL,ev,göz,evlik,evler,gözlük,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,1,False,0.3202688829679977,0.29369091966939054,0.026577963298607177
22,T022,ince,light_deriv,NOMINAL,PLURAL,deniz,şehir,denizlik,denizler,şehirlik,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,2,2,True,0.5483176285469825,0.9887616067032281,-0.4404439781562456
23,T023,ince,light_deriv,NOMINAL,PLURAL,köpek,çiçek,köpeklik,köpekler,çiçeklik,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.27854117346312446,0.9750466823981376,-0.6965055089350132
24,T024,ince,light_deriv,NOMINAL,PLURAL,gemi,ekmek,gemilik,gemiler,ekmeklik,4.91,4.81,0.1,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.251291528859676,0.9693936634427543,-0.7181021345830784
25,T025,ince,light_deriv,NOMINAL,PLURAL,göz,deniz,gözlük,gözler,denizlik,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,2,False,0.43856866624514745,0.24812410919389005,0.1904445570512574
26,T026,ince,strong_deriv,WITHOUT,PLURAL,ev,göz,evsiz,evler,gözsüz,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.24095446107278118,0.6766484577684156,-0.43569399669563447
27,T027,ince,strong_deriv,WITHOUT,PLURAL,deniz,şehir,denizsiz,denizler,şehirsiz,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,2,2,True,0.4571089859963102,0.9897295989504105,-0.5326206129541002
28,T028,ince,strong_deriv,WITHOUT,PLURAL,köpek,çiçek,köpeksiz,köpekler,çiçeksiz,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.278665245203106,0.9841591596939439,-0.7054939144908379
29,T029,ince,strong_deriv,WITHOUT,PLURAL,gemi,ekmek,gemisiz,gemiler,ekmeksiz,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.30803740933512924,0.4199306228451538,-0.11189321351002457
30,T030,ince,strong_deriv,WITHOUT,PLURAL,göz,deniz,gözsüz,gözler,denizsiz,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.2010846648859428,0.6732750005618086,-0.47219033567586577
31,T001,kalın,inflectional,PLURAL,LOCATIVE,kitap,okul,kitaplar,kitapta,okullar,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.7133275555510201,0.5634847090548383,0.14984284649618185
32,T002,kalın,inflectional,PLURAL,LOCATIVE,kalp,taş,kalplar,kalpta,taşlar,5.14,5.13,0.01,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,2,1,False,0.5065772081001778,0.36934447507475343,0.13723273302542438
33,T003,kalın,inflectional,PLURAL,LOCATIVE,kapı,ayak,kapılar,kapıda,ayaklar,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.5486163831403185,0.38236113289180307,0.1662552502485154
34,T004,kalın,inflectional,PLURAL,LOCATIVE,kafa,masa,kafalar,kafada,masalar,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,2,2,True,0.6171987460677575,0.5363947319690973,0.08080401409866023
35,T005,kalın,inflectional,PLURAL,LOCATIVE,okul,kalp,okullar,okulda,kalplar,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,2,False,0.6936085828006324,0.4156754459985983,0.27793313680203413
36,T006,kalın,inflectional,LOCATIVE,PLURAL,kitap,okul,kitapta,kitaplar,okulda,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.7133275555510201,0.5597657687282501,0.15356178682277
37,T007,kalın,inflectional,LOCATIVE,PLURAL,kalp,taş,kalpta,kalplar,taşta,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,2,2,True,0.5065772081001778,0.9817415504886926,-0.4751643423885148
38,T008,kalın,inflectional,LOCATIVE,PLURAL,kapı,ayak,kapıda,kapılar,ayakta,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.5486163831403185,0.44892464475181915,0.09969173838849932
39,T009,kalın,inflectional,LOCATIVE,PLURAL,kafa,masa,kafada,kafalar,masada,4.93,4.56,0.37,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,2,1,False,0.6171987460677575,0.3199017026518597,0.2972970434158978
40,T010,kalın,inflectional,LOCATIVE,PLURAL,okul,kalp,okulda,okullar,kalpta,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,2,False,0.6936085828006324,0.3712412097151303,0.3223673730855021
41,T011,kalın,inflectional,ABLATIVE,PLURAL,kitap,okul,kitaptan,kitaplar,okuldan,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,1,False,0.693242499886874,0.5231965431042033,0.17004595678267076
42,T012,kalın,inflectional,ABLATIVE,PLURAL,kalp,taş,kalptan,kalplar,taştan,5.14,5.13,0.01,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,2,2,True,0.49769709913842797,0.9623707413760678,-0.46467364223763985
43,T013,kalın,inflectional,ABLATIVE,PLURAL,kapı,ayak,kapıdan,kapılar,ayaktan,5.04,4.98,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,2,False,0.6454588262648617,0.2557805825731432,0.38967824369171855
44,T014,kalın,inflectional,ABLATIVE,PLURAL,kafa,masa,kafadan,kafalar,masadan,4.93,4.56,0.37,True,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,2,2,True,0.5740994796442299,0.5636487002987176,0.010450779345512307
45,T015,kalın,inflectional,ABLATIVE,PLURAL,okul,kalp,okuldan,okullar,kalptan,5.32,5.14,0.18,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,1,1,2,False,0.6579095232436605,0.3492808652258017,0.30862865801785877
46,T016,kalın,light_deriv,WITH,PLURAL,kitap,okul,kitaplı,kitaplar,okullu,5.41,5.32,0.09,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,last,2,1,2,False,0.31071526821337303,0.7105324855034238,-0.3998172172900508
