QID,W1,W2,Sim,model,layer,pooling,cosine_similarity,model_name,pair_total_subtoken_count,pair_max_subtoken_count,clean_pair,split_pair,word1_is_split,word2_is_split,both_words_split,pair_avg_subtoken_char_length,word1_avg_subtoken_char_length,word2_avg_subtoken_char_length,word1_subtoken_count_per_char,word2_subtoken_count_per_char
11,affedişi,bağışlayışı,9.083333333,BERTurk,1,first,0.46735348194668114,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,3.8,4.0,3.6666666666666665,0.25,0.2727272727272727
12,sofra,zeytin,1.75,BERTurk,1,first,0.41884966573283444,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
13,eşya,gözlük,2.333333333,BERTurk,1,first,0.31990860889527983,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,4.0,6.0,0.25,0.1666666666666666
14,meslek,mühendis,2.416666667,BERTurk,1,first,0.4524275265850778,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.0,6.0,8.0,0.1666666666666666,0.125
15,savunmaktaydılar,korumaktaydılar,8.166666667,BERTurk,1,first,0.6559940114767309,dbmdz/bert-base-turkish-cased,6,3,False,True,True,True,True,5.166666666666667,5.333333333333333,5.0,0.1875,0.2
16,peynir,ipek,0.833333333,BERTurk,1,first,0.46553678242140917,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,6.0,4.0,0.1666666666666666,0.25
17,turizm,seyahat,4.5,BERTurk,1,first,0.47176672483585524,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,6.0,7.0,0.1666666666666666,0.1428571428571428
18,tıknaz,uyumlu,0.166666667,BERTurk,1,first,0.2215785842610971,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.0,3.0,6.0,0.3333333333333333,0.1666666666666666
19,kemalci,atatürkist,8.75,BERTurk,1,first,0.4884348275981949,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,4.25,3.5,5.0,0.2857142857142857,0.2
20,polis,yardım,3.333333333,BERTurk,1,first,0.3105601711947308,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
21,gürültü,otobüs,0.916666667,BERTurk,1,first,0.34750764110262167,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,7.0,6.0,0.1428571428571428,0.1666666666666666
22,temiz,titiz,7.833333333,BERTurk,1,first,0.38876647540908316,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
23,kitaplıklar,kitap,3.5,BERTurk,1,first,0.9790099082665265,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,5.333333333333333,5.5,5.0,0.1818181818181818,0.2
24,böcek,karınca,3.5,BERTurk,1,first,0.5738257190635411,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,5.0,7.0,0.2,0.1428571428571428
25,gazete,kitap,4.916666667,BERTurk,1,first,0.48224103297060084,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,6.0,5.0,0.1666666666666666,0.2
26,okul,kordon,0.25,BERTurk,1,first,0.33341213594244845,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.3333333333333335,4.0,3.0,0.25,0.3333333333333333
27,ibadet,oruç,5.416666667,BERTurk,1,first,0.5314308922405666,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,6.0,4.0,0.1666666666666666,0.25
28,varlık,hayvan,2.416666667,BERTurk,1,first,0.33032626014495503,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
29,tüketim,üretim,0.25,BERTurk,1,first,0.5240686851365013,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,7.0,6.0,0.1428571428571428,0.1666666666666666
30,sihirbaz,büyücü,7.583333333,BERTurk,1,first,0.6086030509662776,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.5,4.0,3.0,0.25,0.3333333333333333
31,giysi,gömlek,4.333333333,BERTurk,1,first,0.5434349408733299,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
32,hayvan,tavuk,3.333333333,BERTurk,1,first,0.5512504905703732,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,6.0,5.0,0.1666666666666666,0.2
33,sevgili,çiçek,1.166666667,BERTurk,1,first,0.3851433188037259,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,7.0,5.0,0.1428571428571428,0.2
34,turizm,ekonomi,2.0,BERTurk,1,first,0.43825480807468,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,6.0,7.0,0.1666666666666666,0.1428571428571428
35,eski,yeni,0.166666667,BERTurk,1,first,0.5508686180663627,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.0,4.0,4.0,0.25,0.25
36,yüzük,sevgili,1.416666667,BERTurk,1,first,0.32500520929628796,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,5.0,7.0,0.2,0.1428571428571428
37,primatçaları,maymunsuları,6.333333333,BERTurk,1,first,0.3118285826521956,dbmdz/bert-base-turkish-cased,7,4,False,True,True,True,True,3.4285714285714284,3.0,4.0,0.3333333333333333,0.25
38,bilimci,faiz,0.25,BERTurk,1,first,0.31584900476644484,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.6666666666666665,3.5,4.0,0.2857142857142857,0.25
39,gündüz,öğle,4.5,BERTurk,1,first,0.4883515781994081,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,6.0,4.0,0.1666666666666666,0.25
40,otomobil,taksi,5.833333333,BERTurk,1,first,0.5380136156826189,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,8.0,5.0,0.125,0.2
41,çare,sos,1.0,BERTurk,1,first,0.24652920636460007,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,3.5,4.0,3.0,0.25,0.3333333333333333
42,evrensel,sos,0.583333333,BERTurk,1,first,0.34559425510991626,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,8.0,3.0,0.125,0.3333333333333333
43,viski,varlık,0.833333333,BERTurk,1,first,0.18706109774002266,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.6666666666666665,2.5,6.0,0.4,0.1666666666666666
44,alacaklanmak,tabure,0.25,BERTurk,1,first,0.3172508140998589,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,4.5,6.0,3.0,0.1666666666666666,0.3333333333333333
45,sebze,enginar,3.583333333,BERTurk,1,first,0.3315015145797887,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.0,5.0,3.5,0.2,0.2857142857142857
46,damar,rahatsız,0.583333333,BERTurk,1,first,0.33099353196944004,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,5.0,8.0,0.2,0.125
47,öğrenci,yağcılık,0.416666667,BERTurk,1,first,0.2981914731822328,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,5.0,7.0,4.0,0.1428571428571428,0.25
48,bitki,sebze,3.666666667,BERTurk,1,first,0.5796870077190843,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
49,zarar,tımarhane,0.333333333,BERTurk,1,first,0.21071438949417587,dbmdz/bert-base-turkish-cased,4,3,False,True,False,True,False,3.5,5.0,3.0,0.2,0.3333333333333333
50,kelebek,eski,0.166666667,BERTurk,1,first,0.30587704674212723,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,7.0,4.0,0.1428571428571428,0.25
51,zaman,gündüz,2.5,BERTurk,1,first,0.37817364626470606,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
52,meslek,polis,2.833333333,BERTurk,1,first,0.3632055124785615,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,6.0,5.0,0.1666666666666666,0.2
53,su,yağmur,4.25,BERTurk,1,first,0.4057803464642886,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.0,2.0,6.0,0.5,0.1666666666666666
54,nefes,soyut,0.666666667,BERTurk,1,first,0.252127425018451,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
55,yedigen,aykırı,0.25,BERTurk,1,first,0.2953192826669826,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.333333333333333,3.5,6.0,0.2857142857142857,0.1666666666666666
56,titiz,pimpirikli,6.25,BERTurk,1,first,0.22932063954405424,dbmdz/bert-base-turkish-cased,5,4,False,True,False,True,False,3.0,5.0,2.5,0.2,0.4
57,fotoğraf,karton,1.0,BERTurk,1,first,0.40346166564131936,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.0,8.0,6.0,0.125,0.1666666666666666
58,tutsak,serbest,0.25,BERTurk,1,first,0.40698605767753104,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,6.0,7.0,0.1666666666666666,0.1428571428571428
59,fazlalık,ısınmış,0.166666667,BERTurk,1,first,0.27325644394961746,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.75,4.0,3.5,0.25,0.2857142857142857
60,laikçiler,tepe,0.25,BERTurk,1,first,0.30212035107004565,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.333333333333333,4.5,4.0,0.2222222222222222,0.25
61,suçlu,bağışlayışı,0.416666667,BERTurk,1,first,0.307633306907638,dbmdz/bert-base-turkish-cased,4,3,False,True,False,True,False,4.0,5.0,3.6666666666666665,0.2,0.2727272727272727
62,serbest,radyo,0.166666667,BERTurk,1,first,0.2760941892471638,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,7.0,5.0,0.1428571428571428,0.2
63,uzun,tıknaz,0.166666667,BERTurk,1,first,0.19794473349078467,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.3333333333333335,4.0,3.0,0.25,0.3333333333333333
64,kan,pıhtı,2.916666667,BERTurk,1,first,0.3379592927476096,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,2.6666666666666665,3.0,2.5,0.3333333333333333,0.4
65,delilim,ispatım,9.166666667,BERTurk,1,first,0.5483833881105868,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.5,3.5,3.5,0.2857142857142857,0.2857142857142857
66,erkekçene,eksik,0.166666667,BERTurk,1,first,0.24583685435460945,dbmdz/bert-base-turkish-cased,4,3,False,True,True,False,False,3.5,3.0,5.0,0.3333333333333333,0.2
67,delilim,deli,0.666666667,BERTurk,1,first,0.3529542260989711,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.6666666666666665,3.5,4.0,0.2857142857142857,0.25
68,üşengeç,üşengen,8.25,BERTurk,1,first,0.980593080281842,dbmdz/bert-base-turkish-cased,6,3,False,True,True,True,True,2.3333333333333335,2.3333333333333335,2.3333333333333335,0.4285714285714285,0.4285714285714285
69,gül,dostçasına,0.25,BERTurk,1,first,0.3817835067011658,dbmdz/bert-base-turkish-cased,4,3,False,True,False,True,False,3.25,3.0,3.3333333333333335,0.3333333333333333,0.3
70,kum,karınca,1.166666667,BERTurk,1,first,0.29502372522137854,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,3.0,7.0,0.3333333333333333,0.1428571428571428
71,tutsak,köle,7.0,BERTurk,1,first,0.571870326022933,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,6.0,4.0,0.1666666666666666,0.25
72,kazanç,aykırı,0.166666667,BERTurk,1,first,0.3129099100288262,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
73,içki,viski,4.25,BERTurk,1,first,0.32851714111541197,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.0,4.0,2.5,0.25,0.4
74,üşengen,yedigen,0.166666667,BERTurk,1,first,0.2849010709872063,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,2.8,2.3333333333333335,3.5,0.4285714285714285,0.2857142857142857
75,mutfak,kahvaltı,2.0,BERTurk,1,first,0.4566062408730961,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.0,6.0,8.0,0.1666666666666666,0.125
76,çamaşır,külot,4.75,BERTurk,1,first,0.257544849901983,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.0,7.0,2.5,0.1428571428571428,0.4
77,yorgun,yorgunluk,4.916666667,BERTurk,1,first,0.7451174329304455,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.5,6.0,9.0,0.1666666666666666,0.1111111111111111
78,transparan,kemik,0.166666667,BERTurk,1,first,0.23825318450074995,dbmdz/bert-base-turkish-cased,4,3,False,True,True,False,False,3.75,3.3333333333333335,5.0,0.3,0.2
79,muz,yoğurt,1.166666667,BERTurk,1,first,0.43720169649227136,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,3.0,6.0,0.3333333333333333,0.1666666666666666
80,damar,kan,2.333333333,BERTurk,1,first,0.43254276729638963,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.0,5.0,3.0,0.2,0.3333333333333333
81,ilkellik,cenin,0.333333333,BERTurk,1,first,0.2739932885855758,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.25,4.0,2.5,0.25,0.4
82,temiz,kirlice,0.25,BERTurk,1,first,0.5679686064775465,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.0,5.0,3.5,0.2,0.2857142857142857
83,modernite,öncülük,1.916666667,BERTurk,1,first,0.2946885663745382,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,5.333333333333333,4.5,7.0,0.2222222222222222,0.1428571428571428
84,peşinatsız,borçlanmak,1.416666667,BERTurk,1,first,0.2677836306657354,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,4.0,3.3333333333333335,5.0,0.3,0.2
85,öğrenci,kitap,1.416666667,BERTurk,1,first,0.4897911029866149,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,7.0,5.0,0.1428571428571428,0.2
86,mühendis,bilişim,2.333333333,BERTurk,1,first,0.45112592764930215,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.5,8.0,7.0,0.125,0.1428571428571428
87,zeki,çocuk,0.833333333,BERTurk,1,first,0.35786003208824013,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,4.0,5.0,0.25,0.2
88,avare,başıboş,8.416666667,BERTurk,1,first,0.2702272353879852,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,2.4,2.5,2.3333333333333335,0.4,0.4285714285714285
89,tren,inançlılık,0.166666667,BERTurk,1,first,0.29397740082087165,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.666666666666667,4.0,5.0,0.25,0.2
90,mücevher,şahane,0.5,BERTurk,1,first,0.39871273397052265,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.0,8.0,6.0,0.125,0.1666666666666666
91,başladılarsa,bitirdilerse,0.083333333,BERTurk,1,first,0.44860207053200585,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
92,keşiş,köle,0.583333333,BERTurk,1,first,0.31133964790491886,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.0,2.5,4.0,0.4,0.25
93,palto,ceket,6.75,BERTurk,1,first,0.32623509243345983,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.3333333333333335,2.5,5.0,0.4,0.2
94,oksijen,su,2.0,BERTurk,1,first,0.4220483776569335,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,7.0,2.0,0.1428571428571428,0.5
95,taşıt,tren,3.583333333,BERTurk,1,first,0.49003686355292997,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,5.0,4.0,0.2,0.25
96,kıyı,tepe,0.916666667,BERTurk,1,first,0.41842968193711494,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.0,4.0,4.0,0.25,0.25
97,adalet,vicdan,2.833333333,BERTurk,1,first,0.5083457385571187,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
98,rahatsız,alışkın,0.166666667,BERTurk,1,first,0.27634108086146814,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,5.0,8.0,3.5,0.125,0.2857142857142857
99,kavramsallaştırsın,soyut,1.0,BERTurk,1,first,0.40875646645946206,dbmdz/bert-base-turkish-cased,5,4,False,True,True,False,False,4.6,4.5,5.0,0.2222222222222222,0.2
100,hayat,fani,1.583333333,BERTurk,1,first,0.31512312680882704,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.0,5.0,2.0,0.2,0.5
101,ıslak,deniz,1.833333333,BERTurk,1,first,0.32996923262304745,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
102,kitaplıklar,kitaphane,7.166666667,BERTurk,1,first,0.984038037315225,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,5.0,5.5,4.5,0.1818181818181818,0.2222222222222222
103,din,vicdan,1.75,BERTurk,1,first,0.3652665810942265,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,3.0,6.0,0.3333333333333333,0.1666666666666666
104,brüt,çamaşır,0.25,BERTurk,1,first,0.32257898098441795,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,4.0,7.0,0.25,0.1428571428571428
105,tıknaz,şiddetli,0.333333333,BERTurk,1,first,0.19637076329591108,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.666666666666667,3.0,8.0,0.3333333333333333,0.125
106,yüreklicesine,gevşek,0.166666667,BERTurk,1,first,0.2600476507886207,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,3.8,4.333333333333333,3.0,0.2307692307692307,0.3333333333333333
107,cenin,kuyumcu,0.166666667,BERTurk,1,first,0.2564380786750804,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,2.4,2.5,2.3333333333333335,0.4,0.4285714285714285
108,gözlükçü,gözlük,2.75,BERTurk,1,first,0.9709193489241477,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.666666666666667,4.0,6.0,0.25,0.1666666666666666
109,affedişi,cezalandırışı,0.166666667,BERTurk,1,first,0.48994641537274053,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,5.25,4.0,6.5,0.25,0.1538461538461538
110,bilişim,sebze,0.25,BERTurk,1,first,0.34452943422299065,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,7.0,5.0,0.1428571428571428,0.2
111,iktidarcılar,sabahlardaki,0.166666667,BERTurk,1,first,0.2988008324934961,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
112,cinayetindeki,asosyalleştirdikleri,0.166666667,BERTurk,1,first,0.23859007291266776,dbmdz/bert-base-turkish-cased,7,4,False,True,True,True,True,4.714285714285714,4.333333333333333,5.0,0.2307692307692307,0.2
113,zarar,kazanç,0.083333333,BERTurk,1,first,0.4458306100823508,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
114,kuş,turna,3.333333333,BERTurk,1,first,0.31388980842687575,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,2.6666666666666665,3.0,2.5,0.3333333333333333,0.4
115,brüt,kesintili,0.333333333,BERTurk,1,first,0.33828141087651,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.333333333333333,4.0,4.5,0.25,0.2222222222222222
116,borçlanmak,faiz,1.416666667,BERTurk,1,first,0.4126842237417516,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.666666666666667,5.0,4.0,0.2,0.25
117,zaman,öğle,2.833333333,BERTurk,1,first,0.3622440910046413,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,5.0,4.0,0.2,0.25
118,mücevher,sicim,0.333333333,BERTurk,1,first,0.26328456909452336,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.333333333333333,8.0,2.5,0.125,0.4
119,külot,aile,0.25,BERTurk,1,first,0.26819808316633,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.0,2.5,4.0,0.4,0.25
120,mezarhane,mutfak,0.25,BERTurk,1,first,0.38200336327992246,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,5.0,4.5,6.0,0.2222222222222222,0.1666666666666666
121,bitirdilerse,geceleyin,0.166666667,BERTurk,1,first,0.2948162595206826,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,5.25,6.0,4.5,0.1666666666666666,0.2222222222222222
122,yoldaş,delikanlı,0.833333333,BERTurk,1,first,0.3977102593047128,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.5,6.0,9.0,0.1666666666666666,0.1111111111111111
123,ıslak,serin,1.75,BERTurk,1,first,0.44981689533953373,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
124,barınak,tımarhane,0.666666667,BERTurk,1,first,0.2482202514552112,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,3.2,3.5,3.0,0.2857142857142857,0.3333333333333333
125,zarar,kadın,0.25,BERTurk,1,first,0.28678507772117623,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
126,atletik,avare,0.333333333,BERTurk,1,first,0.2616890455029641,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.0,3.5,2.5,0.2857142857142857,0.4
127,cansız,yaşlıymışçasına,0.916666667,BERTurk,1,first,0.39070940136851806,dbmdz/bert-base-turkish-cased,5,4,False,True,False,True,False,4.2,6.0,3.75,0.1666666666666666,0.2666666666666666
128,peynir,karton,0.25,BERTurk,1,first,0.44964355125922695,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
129,süreli,süresiz,0.083333333,BERTurk,1,first,0.5244754697250622,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.333333333333333,6.0,3.5,0.1666666666666666,0.2857142857142857
130,tutsak,özgür,0.083333333,BERTurk,1,first,0.5246496986945985,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,6.0,5.0,0.1666666666666666,0.2
131,gevşek,heykel,0.166666667,BERTurk,1,first,0.31092121868718714,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.0,3.0,6.0,0.3333333333333333,0.1666666666666666
132,kamyon,sesteş,0.083333333,BERTurk,1,first,0.2870036568190528,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.0,6.0,3.0,0.1666666666666666,0.3333333333333333
133,yiyecek,sos,2.666666667,BERTurk,1,first,0.4297315038592864,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,7.0,3.0,0.1428571428571428,0.3333333333333333
134,modernite,ilkellik,0.25,BERTurk,1,first,0.42764178840003475,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,4.25,4.5,4.0,0.2222222222222222,0.25
135,keşiş,kahin,3.083333333,BERTurk,1,first,0.35536688040502706,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,2.5,2.5,2.5,0.4,0.4
136,turna,uygulamak,0.166666667,BERTurk,1,first,0.2492211558307199,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.666666666666667,2.5,9.0,0.4,0.1111111111111111
137,ormanlık,fotoğraf,0.416666667,BERTurk,1,first,0.3409515738961648,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,8.0,8.0,8.0,0.125,0.125
138,sosyalleştirdikleri,asosyalleştirdikleri,0.083333333,BERTurk,1,first,0.26225957862252125,dbmdz/bert-base-turkish-cased,7,4,False,True,True,True,True,5.571428571428571,6.333333333333333,5.0,0.1578947368421052,0.2
139,cinayetindeki,kemik,0.25,BERTurk,1,first,0.2908063308623592,dbmdz/bert-base-turkish-cased,4,3,False,True,True,False,False,4.5,4.333333333333333,5.0,0.2307692307692307,0.2
140,masum,kuşku,0.416666667,BERTurk,1,first,0.3014631607839563,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
141,delikanlı,büyücü,0.25,BERTurk,1,first,0.32560754478714415,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,5.0,9.0,3.0,0.1111111111111111,0.3333333333333333
142,uzun,atletik,3.083333333,BERTurk,1,first,0.32832279909537143,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.6666666666666665,4.0,3.5,0.25,0.2857142857142857
143,deniz,sahil,5.0,BERTurk,1,first,0.5853469034714915,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
144,orman,meyve,1.416666667,BERTurk,1,first,0.4432195131969343,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
