QID,W1,W2,Sim,input_condition,model,layer,pooling,cosine_similarity,word1_context_sentence_count,word2_context_sentence_count,model_name,pair_total_subtoken_count,pair_max_subtoken_count,clean_pair,split_pair,word1_is_split,word2_is_split,both_words_split,pair_avg_subtoken_char_length,word1_avg_subtoken_char_length,word2_avg_subtoken_char_length,word1_subtoken_count_per_char,word2_subtoken_count_per_char
14,meslek,mühendis,2.416666667,contextual,BERTurk,1,first,0.3701020755748078,7,5,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.0,6.0,8.0,0.1666666666666666,0.125
15,savunmaktaydılar,korumaktaydılar,8.166666667,contextual,BERTurk,1,first,0.6102560490607727,15,15,dbmdz/bert-base-turkish-cased,6,3,False,True,True,True,True,5.166666666666667,5.333333333333333,5.0,0.1875,0.2
16,peynir,ipek,0.833333333,contextual,BERTurk,1,first,0.3512802154589063,1,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,6.0,4.0,0.1666666666666666,0.25
17,turizm,seyahat,4.5,contextual,BERTurk,1,first,0.4275625300139949,10,7,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,6.0,7.0,0.1666666666666666,0.1428571428571428
18,tıknaz,uyumlu,0.166666667,contextual,BERTurk,1,first,0.12737489551826398,4,9,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.0,3.0,6.0,0.3333333333333333,0.1666666666666666
19,kemalci,atatürkist,8.75,contextual,BERTurk,1,first,0.454576302611869,10,15,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,4.25,3.5,5.0,0.2857142857142857,0.2
20,polis,yardım,3.333333333,contextual,BERTurk,1,first,0.221569882376632,4,13,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
21,gürültü,otobüs,0.916666667,contextual,BERTurk,1,first,0.28061525475088067,9,9,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,7.0,6.0,0.1428571428571428,0.1666666666666666
22,temiz,titiz,7.833333333,contextual,BERTurk,1,first,0.3233682705377411,13,12,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
23,kitaplıklar,kitap,3.5,contextual,BERTurk,1,first,0.9844318465961289,14,15,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,5.333333333333333,5.5,5.0,0.1818181818181818,0.2
24,böcek,karınca,3.5,contextual,BERTurk,1,first,0.5062538523271362,9,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,5.0,7.0,0.2,0.1428571428571428
25,gazete,kitap,4.916666667,contextual,BERTurk,1,first,0.44713810404398413,8,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,6.0,5.0,0.1666666666666666,0.2
26,okul,kordon,0.25,contextual,BERTurk,1,first,0.24221955889568547,3,14,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.3333333333333335,4.0,3.0,0.25,0.3333333333333333
27,ibadet,oruç,5.416666667,contextual,BERTurk,1,first,0.4796757760380653,11,11,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,6.0,4.0,0.1666666666666666,0.25
28,varlık,hayvan,2.416666667,contextual,BERTurk,1,first,0.2763599785291314,15,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
29,tüketim,üretim,0.25,contextual,BERTurk,1,first,0.4863772866118279,12,11,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,7.0,6.0,0.1428571428571428,0.1666666666666666
30,sihirbaz,büyücü,7.583333333,contextual,BERTurk,1,first,0.5374803958762208,15,10,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.5,4.0,3.0,0.25,0.3333333333333333
31,giysi,gömlek,4.333333333,contextual,BERTurk,1,first,0.5016139443558525,15,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
32,hayvan,tavuk,3.333333333,contextual,BERTurk,1,first,0.4735126196839623,15,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,6.0,5.0,0.1666666666666666,0.2
33,sevgili,çiçek,1.166666667,contextual,BERTurk,1,first,0.27157761143273795,4,10,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,7.0,5.0,0.1428571428571428,0.2
34,turizm,ekonomi,2.0,contextual,BERTurk,1,first,0.40372901170179687,10,8,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,6.0,7.0,0.1666666666666666,0.1428571428571428
35,eski,yeni,0.166666667,contextual,BERTurk,1,first,0.5178204166342069,12,8,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.0,4.0,4.0,0.25,0.25
36,yüzük,sevgili,1.416666667,contextual,BERTurk,1,first,0.21693865477590024,12,4,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,5.0,7.0,0.2,0.1428571428571428
37,primatçaları,maymunsuları,6.333333333,contextual,BERTurk,1,first,0.24118167346494868,13,10,dbmdz/bert-base-turkish-cased,7,4,False,True,True,True,True,3.4285714285714284,3.0,4.0,0.3333333333333333,0.25
38,bilimci,faiz,0.25,contextual,BERTurk,1,first,0.24773322149935606,9,9,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.6666666666666665,3.5,4.0,0.2857142857142857,0.25
39,gündüz,öğle,4.5,contextual,BERTurk,1,first,0.43409501944821316,7,3,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,6.0,4.0,0.1666666666666666,0.25
40,otomobil,taksi,5.833333333,contextual,BERTurk,1,first,0.4291928211102637,3,3,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,8.0,5.0,0.125,0.2
41,çare,sos,1.0,contextual,BERTurk,1,first,0.15106947198728693,12,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,3.5,4.0,3.0,0.25,0.3333333333333333
42,evrensel,sos,0.583333333,contextual,BERTurk,1,first,0.2543167588241493,13,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,8.0,3.0,0.125,0.3333333333333333
43,viski,varlık,0.833333333,contextual,BERTurk,1,first,0.12027726346138135,11,15,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.6666666666666665,2.5,6.0,0.4,0.1666666666666666
44,alacaklanmak,tabure,0.25,contextual,BERTurk,1,first,0.18684232278581547,13,11,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,4.5,6.0,3.0,0.1666666666666666,0.3333333333333333
45,sebze,enginar,3.583333333,contextual,BERTurk,1,first,0.2655819103610757,15,7,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.0,5.0,3.5,0.2,0.2857142857142857
46,damar,rahatsız,0.583333333,contextual,BERTurk,1,first,0.2050461141289548,15,4,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,5.0,8.0,0.2,0.125
47,öğrenci,yağcılık,0.416666667,contextual,BERTurk,1,first,0.19479359621087333,15,12,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,5.0,7.0,4.0,0.1428571428571428,0.25
48,bitki,sebze,3.666666667,contextual,BERTurk,1,first,0.5238294553527246,15,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
49,zarar,tımarhane,0.333333333,contextual,BERTurk,1,first,0.09443953830362961,15,8,dbmdz/bert-base-turkish-cased,4,3,False,True,False,True,False,3.5,5.0,3.0,0.2,0.3333333333333333
50,kelebek,eski,0.166666667,contextual,BERTurk,1,first,0.18648266244217893,10,12,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,7.0,4.0,0.1428571428571428,0.25
51,zaman,gündüz,2.5,contextual,BERTurk,1,first,0.28527638721426296,7,7,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
52,meslek,polis,2.833333333,contextual,BERTurk,1,first,0.25578825836602936,7,4,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,6.0,5.0,0.1666666666666666,0.2
53,su,yağmur,4.25,contextual,BERTurk,1,first,0.35860993477995096,13,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.0,2.0,6.0,0.5,0.1666666666666666
54,nefes,soyut,0.666666667,contextual,BERTurk,1,first,0.1672993835322587,15,13,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
55,yedigen,aykırı,0.25,contextual,BERTurk,1,first,0.19381006952617374,10,10,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.333333333333333,3.5,6.0,0.2857142857142857,0.1666666666666666
56,titiz,pimpirikli,6.25,contextual,BERTurk,1,first,0.16163971431164825,12,4,dbmdz/bert-base-turkish-cased,5,4,False,True,False,True,False,3.0,5.0,2.5,0.2,0.4
57,fotoğraf,karton,1.0,contextual,BERTurk,1,first,0.2956101751272674,7,14,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.0,8.0,6.0,0.125,0.1666666666666666
58,tutsak,serbest,0.25,contextual,BERTurk,1,first,0.3149405933880818,7,13,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.5,6.0,7.0,0.1666666666666666,0.1428571428571428
59,fazlalık,ısınmış,0.166666667,contextual,BERTurk,1,first,0.1611316122812685,6,10,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.75,4.0,3.5,0.25,0.2857142857142857
60,laikçiler,tepe,0.25,contextual,BERTurk,1,first,0.1913866484445259,8,9,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.333333333333333,4.5,4.0,0.2222222222222222,0.25
61,suçlu,bağışlayışı,0.416666667,contextual,BERTurk,1,first,0.23749838259674738,12,15,dbmdz/bert-base-turkish-cased,4,3,False,True,False,True,False,4.0,5.0,3.6666666666666665,0.2,0.2727272727272727
62,serbest,radyo,0.166666667,contextual,BERTurk,1,first,0.16021302689243477,13,6,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,7.0,5.0,0.1428571428571428,0.2
63,uzun,tıknaz,0.166666667,contextual,BERTurk,1,first,0.13235529962925552,14,4,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.3333333333333335,4.0,3.0,0.25,0.3333333333333333
64,kan,pıhtı,2.916666667,contextual,BERTurk,1,first,0.2969832100449187,12,10,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,2.6666666666666665,3.0,2.5,0.3333333333333333,0.4
65,delilim,ispatım,9.166666667,contextual,BERTurk,1,first,0.49114180049339595,12,11,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.5,3.5,3.5,0.2857142857142857,0.2857142857142857
66,erkekçene,eksik,0.166666667,contextual,BERTurk,1,first,0.1816329956026158,8,5,dbmdz/bert-base-turkish-cased,4,3,False,True,True,False,False,3.5,3.0,5.0,0.3333333333333333,0.2
67,delilim,deli,0.666666667,contextual,BERTurk,1,first,0.26668366377061137,12,8,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.6666666666666665,3.5,4.0,0.2857142857142857,0.25
68,üşengeç,üşengen,8.25,contextual,BERTurk,1,first,0.9915001103185948,7,7,dbmdz/bert-base-turkish-cased,6,3,False,True,True,True,True,2.3333333333333335,2.3333333333333335,2.3333333333333335,0.4285714285714285,0.4285714285714285
69,gül,dostçasına,0.25,contextual,BERTurk,1,first,0.30591032132689056,13,15,dbmdz/bert-base-turkish-cased,4,3,False,True,False,True,False,3.25,3.0,3.3333333333333335,0.3333333333333333,0.3
70,kum,karınca,1.166666667,contextual,BERTurk,1,first,0.1977757394508589,10,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,3.0,7.0,0.3333333333333333,0.1428571428571428
71,tutsak,köle,7.0,contextual,BERTurk,1,first,0.4940772239681319,7,6,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,6.0,4.0,0.1666666666666666,0.25
72,kazanç,aykırı,0.166666667,contextual,BERTurk,1,first,0.21415610016004172,13,10,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
73,içki,viski,4.25,contextual,BERTurk,1,first,0.23513972977975883,12,11,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.0,4.0,2.5,0.25,0.4
74,üşengen,yedigen,0.166666667,contextual,BERTurk,1,first,0.13578092133445574,7,10,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,2.8,2.3333333333333335,3.5,0.4285714285714285,0.2857142857142857
75,mutfak,kahvaltı,2.0,contextual,BERTurk,1,first,0.40172202091065945,8,14,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.0,6.0,8.0,0.1666666666666666,0.125
76,çamaşır,külot,4.75,contextual,BERTurk,1,first,0.20442909397795717,4,14,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.0,7.0,2.5,0.1428571428571428,0.4
77,yorgun,yorgunluk,4.916666667,contextual,BERTurk,1,first,0.6923980036909485,3,4,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.5,6.0,9.0,0.1666666666666666,0.1111111111111111
78,transparan,kemik,0.166666667,contextual,BERTurk,1,first,0.1693046947086192,15,10,dbmdz/bert-base-turkish-cased,4,3,False,True,True,False,False,3.75,3.3333333333333335,5.0,0.3,0.2
79,muz,yoğurt,1.166666667,contextual,BERTurk,1,first,0.38497357199268456,7,7,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,3.0,6.0,0.3333333333333333,0.1666666666666666
80,damar,kan,2.333333333,contextual,BERTurk,1,first,0.36608568096174676,15,12,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.0,5.0,3.0,0.2,0.3333333333333333
81,ilkellik,cenin,0.333333333,contextual,BERTurk,1,first,0.15585407559430287,14,5,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.25,4.0,2.5,0.25,0.4
82,temiz,kirlice,0.25,contextual,BERTurk,1,first,0.5377870873160411,13,6,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.0,5.0,3.5,0.2,0.2857142857142857
83,modernite,öncülük,1.916666667,contextual,BERTurk,1,first,0.1961043140047216,9,15,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,5.333333333333333,4.5,7.0,0.2222222222222222,0.1428571428571428
84,peşinatsız,borçlanmak,1.416666667,contextual,BERTurk,1,first,0.20744221236339033,10,11,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,4.0,3.3333333333333335,5.0,0.3,0.2
85,öğrenci,kitap,1.416666667,contextual,BERTurk,1,first,0.40432165126816466,15,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,7.0,5.0,0.1428571428571428,0.2
86,mühendis,bilişim,2.333333333,contextual,BERTurk,1,first,0.367188684080781,5,14,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.5,8.0,7.0,0.125,0.1428571428571428
87,zeki,çocuk,0.833333333,contextual,BERTurk,1,first,0.2660261400491546,9,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,4.0,5.0,0.25,0.2
88,avare,başıboş,8.416666667,contextual,BERTurk,1,first,0.20073371580720523,4,7,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,2.4,2.5,2.3333333333333335,0.4,0.4285714285714285
89,tren,inançlılık,0.166666667,contextual,BERTurk,1,first,0.19872040258743984,8,11,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.666666666666667,4.0,5.0,0.25,0.2
90,mücevher,şahane,0.5,contextual,BERTurk,1,first,0.29606214863185465,5,11,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.0,8.0,6.0,0.125,0.1666666666666666
91,başladılarsa,bitirdilerse,0.083333333,contextual,BERTurk,1,first,0.38282409095458614,15,15,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
92,keşiş,köle,0.583333333,contextual,BERTurk,1,first,0.20639935218776517,7,6,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.0,2.5,4.0,0.4,0.25
93,palto,ceket,6.75,contextual,BERTurk,1,first,0.2788749776200561,5,7,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.3333333333333335,2.5,5.0,0.4,0.2
94,oksijen,su,2.0,contextual,BERTurk,1,first,0.3845615119694905,15,13,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,7.0,2.0,0.1428571428571428,0.5
95,taşıt,tren,3.583333333,contextual,BERTurk,1,first,0.4042926153024595,15,8,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,5.0,4.0,0.2,0.25
96,kıyı,tepe,0.916666667,contextual,BERTurk,1,first,0.34328821492959494,9,9,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.0,4.0,4.0,0.25,0.25
97,adalet,vicdan,2.833333333,contextual,BERTurk,1,first,0.44359484653937775,12,13,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
98,rahatsız,alışkın,0.166666667,contextual,BERTurk,1,first,0.19766420185304034,4,15,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,5.0,8.0,3.5,0.125,0.2857142857142857
99,kavramsallaştırsın,soyut,1.0,contextual,BERTurk,1,first,0.3745979950580891,15,13,dbmdz/bert-base-turkish-cased,5,4,False,True,True,False,False,4.6,4.5,5.0,0.2222222222222222,0.2
100,hayat,fani,1.583333333,contextual,BERTurk,1,first,0.22125785792576014,7,8,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.0,5.0,2.0,0.2,0.5
101,ıslak,deniz,1.833333333,contextual,BERTurk,1,first,0.22650878183653744,11,9,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
102,kitaplıklar,kitaphane,7.166666667,contextual,BERTurk,1,first,0.9839282024719875,14,8,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,5.0,5.5,4.5,0.1818181818181818,0.2222222222222222
103,din,vicdan,1.75,contextual,BERTurk,1,first,0.2892192887730737,8,13,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,3.0,6.0,0.3333333333333333,0.1666666666666666
104,brüt,çamaşır,0.25,contextual,BERTurk,1,first,0.17630986503616786,9,4,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,4.0,7.0,0.25,0.1428571428571428
105,tıknaz,şiddetli,0.333333333,contextual,BERTurk,1,first,0.14688903231422035,4,7,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.666666666666667,3.0,8.0,0.3333333333333333,0.125
106,yüreklicesine,gevşek,0.166666667,contextual,BERTurk,1,first,0.16284691728664857,4,15,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,3.8,4.333333333333333,3.0,0.2307692307692307,0.3333333333333333
107,cenin,kuyumcu,0.166666667,contextual,BERTurk,1,first,0.1387960175923898,5,2,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,2.4,2.5,2.3333333333333335,0.4,0.4285714285714285
108,gözlükçü,gözlük,2.75,contextual,BERTurk,1,first,0.9766064932842167,6,14,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.666666666666667,4.0,6.0,0.25,0.1666666666666666
109,affedişi,cezalandırışı,0.166666667,contextual,BERTurk,1,first,0.42815986736253064,11,10,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,5.25,4.0,6.5,0.25,0.1538461538461538
110,bilişim,sebze,0.25,contextual,BERTurk,1,first,0.19513196308807357,14,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,7.0,5.0,0.1428571428571428,0.2
111,iktidarcılar,sabahlardaki,0.166666667,contextual,BERTurk,1,first,,7,0,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
112,cinayetindeki,asosyalleştirdikleri,0.166666667,contextual,BERTurk,1,first,,0,15,dbmdz/bert-base-turkish-cased,7,4,False,True,True,True,True,4.714285714285714,4.333333333333333,5.0,0.2307692307692307,0.2
113,zarar,kazanç,0.083333333,contextual,BERTurk,1,first,0.3641992189995644,15,13,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
114,kuş,turna,3.333333333,contextual,BERTurk,1,first,0.2535053646901295,10,8,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,2.6666666666666665,3.0,2.5,0.3333333333333333,0.4
115,brüt,kesintili,0.333333333,contextual,BERTurk,1,first,0.22285310215036236,9,5,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.333333333333333,4.0,4.5,0.25,0.2222222222222222
116,borçlanmak,faiz,1.416666667,contextual,BERTurk,1,first,0.34801902626730796,11,9,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.666666666666667,5.0,4.0,0.2,0.25
117,zaman,öğle,2.833333333,contextual,BERTurk,1,first,0.25303234750317727,7,3,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,5.0,4.0,0.2,0.25
118,mücevher,sicim,0.333333333,contextual,BERTurk,1,first,0.14672426009185546,5,14,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.333333333333333,8.0,2.5,0.125,0.4
119,külot,aile,0.25,contextual,BERTurk,1,first,0.1857454805026374,14,8,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,3.0,2.5,4.0,0.4,0.25
120,mezarhane,mutfak,0.25,contextual,BERTurk,1,first,0.3151809679967108,8,8,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,5.0,4.5,6.0,0.2222222222222222,0.1666666666666666
121,bitirdilerse,geceleyin,0.166666667,contextual,BERTurk,1,first,0.20591661297469088,15,15,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,5.25,6.0,4.5,0.1666666666666666,0.2222222222222222
122,yoldaş,delikanlı,0.833333333,contextual,BERTurk,1,first,0.2741715362165481,10,10,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,7.5,6.0,9.0,0.1666666666666666,0.1111111111111111
123,ıslak,serin,1.75,contextual,BERTurk,1,first,0.3843713391589092,11,12,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
124,barınak,tımarhane,0.666666667,contextual,BERTurk,1,first,0.1294510066733846,13,8,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,3.2,3.5,3.0,0.2857142857142857,0.3333333333333333
125,zarar,kadın,0.25,contextual,BERTurk,1,first,0.18030699814019124,15,13,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
126,atletik,avare,0.333333333,contextual,BERTurk,1,first,0.16904708115690448,15,4,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.0,3.5,2.5,0.2857142857142857,0.4
127,cansız,yaşlıymışçasına,0.916666667,contextual,BERTurk,1,first,0.33861369233435523,7,14,dbmdz/bert-base-turkish-cased,5,4,False,True,False,True,False,4.2,6.0,3.75,0.1666666666666666,0.2666666666666666
128,peynir,karton,0.25,contextual,BERTurk,1,first,0.33013756987632237,1,14,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,6.0,6.0,6.0,0.1666666666666666,0.1666666666666666
129,süreli,süresiz,0.083333333,contextual,BERTurk,1,first,0.4684308148363865,6,3,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.333333333333333,6.0,3.5,0.1666666666666666,0.2857142857142857
130,tutsak,özgür,0.083333333,contextual,BERTurk,1,first,0.42676187646742214,7,10,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,6.0,5.0,0.1666666666666666,0.2
131,gevşek,heykel,0.166666667,contextual,BERTurk,1,first,0.22547749592420252,15,15,dbmdz/bert-base-turkish-cased,3,2,False,True,True,False,False,4.0,3.0,6.0,0.3333333333333333,0.1666666666666666
132,kamyon,sesteş,0.083333333,contextual,BERTurk,1,first,0.1750620068708696,13,11,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,4.0,6.0,3.0,0.1666666666666666,0.3333333333333333
133,yiyecek,sos,2.666666667,contextual,BERTurk,1,first,0.32411964714816444,15,15,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,7.0,3.0,0.1428571428571428,0.3333333333333333
