W1,W2,Sim,baseline_name,embedding_dim,seed,random_cosine_similarity
çare,sos,1.0,random_baseline,768,42,0.04545269
evrensel,sos,0.583333333,random_baseline,768,42,-0.020702774
viski,varlık,0.833333333,random_baseline,768,42,-0.016233956
alacaklanmak,tabure,0.25,random_baseline,768,42,-0.02636553
sebze,enginar,3.583333333,random_baseline,768,42,-0.024902908
damar,rahatsız,0.583333333,random_baseline,768,42,0.0005590543
öğrenci,yağcılık,0.416666667,random_baseline,768,42,-0.029223094
bitki,sebze,3.666666667,random_baseline,768,42,-0.03204086
zarar,tımarhane,0.333333333,random_baseline,768,42,0.05807046
kelebek,eski,0.166666667,random_baseline,768,42,0.01003104
zaman,gündüz,2.5,random_baseline,768,42,-0.04100396
meslek,polis,2.833333333,random_baseline,768,42,-0.015125093
su,yağmur,4.25,random_baseline,768,42,-0.05740892
nefes,soyut,0.666666667,random_baseline,768,42,-0.10594045
yedigen,aykırı,0.25,random_baseline,768,42,-0.002411508
titiz,pimpirikli,6.25,random_baseline,768,42,0.005486883
fotoğraf,karton,1.0,random_baseline,768,42,-0.039580584
tutsak,serbest,0.25,random_baseline,768,42,0.011029076
fazlalık,ısınmış,0.166666667,random_baseline,768,42,0.017197836
laikçiler,tepe,0.25,random_baseline,768,42,0.011841716
suçlu,bağışlayışı,0.416666667,random_baseline,768,42,-0.019374402
serbest,radyo,0.166666667,random_baseline,768,42,0.015785608
uzun,tıknaz,0.166666667,random_baseline,768,42,-0.006738985
kan,pıhtı,2.916666667,random_baseline,768,42,-0.026807414
delilim,ispatım,9.166666667,random_baseline,768,42,0.059778277
erkekçene,eksik,0.166666667,random_baseline,768,42,0.0537133
delilim,deli,0.666666667,random_baseline,768,42,0.036946956
üşengeç,üşengen,8.25,random_baseline,768,42,0.008444857
gül,dostçasına,0.25,random_baseline,768,42,0.011136368
kum,karınca,1.166666667,random_baseline,768,42,-0.032374907
tutsak,köle,7.0,random_baseline,768,42,0.025141029
kazanç,aykırı,0.166666667,random_baseline,768,42,-0.011779046
içki,viski,4.25,random_baseline,768,42,-0.01104462
üşengen,yedigen,0.166666667,random_baseline,768,42,0.008146187
mutfak,kahvaltı,2.0,random_baseline,768,42,-0.010554925
çamaşır,külot,4.75,random_baseline,768,42,-0.006811301
yorgun,yorgunluk,4.916666667,random_baseline,768,42,0.048432734
transparan,kemik,0.166666667,random_baseline,768,42,-0.067518435
muz,yoğurt,1.166666667,random_baseline,768,42,0.035263933
damar,kan,2.333333333,random_baseline,768,42,-0.024397995
ilkellik,cenin,0.333333333,random_baseline,768,42,0.055849846
temiz,kirlice,0.25,random_baseline,768,42,-0.014145741
modernite,öncülük,1.916666667,random_baseline,768,42,0.02146886
peşinatsız,borçlanmak,1.416666667,random_baseline,768,42,-3.8584694e-05
öğrenci,kitap,1.416666667,random_baseline,768,42,0.019582616
mühendis,bilişim,2.333333333,random_baseline,768,42,0.05646782
zeki,çocuk,0.833333333,random_baseline,768,42,-0.021141784
avare,başıboş,8.416666667,random_baseline,768,42,0.012889213
tren,inançlılık,0.166666667,random_baseline,768,42,-0.010752212
mücevher,şahane,0.5,random_baseline,768,42,0.004794238
başladılarsa,bitirdilerse,0.083333333,random_baseline,768,42,-0.029345585
keşiş,köle,0.583333333,random_baseline,768,42,-0.057604462
palto,ceket,6.75,random_baseline,768,42,0.010287223
oksijen,su,2.0,random_baseline,768,42,-0.015268754
taşıt,tren,3.583333333,random_baseline,768,42,-0.030364154
kıyı,tepe,0.916666667,random_baseline,768,42,0.010736079
adalet,vicdan,2.833333333,random_baseline,768,42,-0.027073108
rahatsız,alışkın,0.166666667,random_baseline,768,42,-0.04705308
kavramsallaştırsın,soyut,1.0,random_baseline,768,42,0.014176146
hayat,fani,1.583333333,random_baseline,768,42,-0.020692963
ıslak,deniz,1.833333333,random_baseline,768,42,0.03190943
kitaplıklar,kitaphane,7.166666667,random_baseline,768,42,0.008441935
din,vicdan,1.75,random_baseline,768,42,0.0119025735
brüt,çamaşır,0.25,random_baseline,768,42,-0.0011173524
tıknaz,şiddetli,0.333333333,random_baseline,768,42,-0.042755745
yüreklicesine,gevşek,0.166666667,random_baseline,768,42,-0.0049505653
cenin,kuyumcu,0.166666667,random_baseline,768,42,0.023795385
gözlükçü,gözlük,2.75,random_baseline,768,42,0.028614158
affedişi,cezalandırışı,0.166666667,random_baseline,768,42,0.003126204
bilişim,sebze,0.25,random_baseline,768,42,0.028268842
iktidarcılar,sabahlardaki,0.166666667,random_baseline,768,42,-0.0019897278
cinayetindeki,asosyalleştirdikleri,0.166666667,random_baseline,768,42,0.031705827
zarar,kazanç,0.083333333,random_baseline,768,42,-0.021480244
kuş,turna,3.333333333,random_baseline,768,42,-0.020100715
brüt,kesintili,0.333333333,random_baseline,768,42,-0.012265688
borçlanmak,faiz,1.416666667,random_baseline,768,42,0.03303288
zaman,öğle,2.833333333,random_baseline,768,42,-0.01139097
mücevher,sicim,0.333333333,random_baseline,768,42,-0.018403964
külot,aile,0.25,random_baseline,768,42,-0.07157631
mezarhane,mutfak,0.25,random_baseline,768,42,0.016265972
bitirdilerse,geceleyin,0.166666667,random_baseline,768,42,-0.053855848
yoldaş,delikanlı,0.833333333,random_baseline,768,42,0.0007821936
ıslak,serin,1.75,random_baseline,768,42,-0.06309775
barınak,tımarhane,0.666666667,random_baseline,768,42,-0.01685358
zarar,kadın,0.25,random_baseline,768,42,-0.03260158
atletik,avare,0.333333333,random_baseline,768,42,0.043687694
cansız,yaşlıymışçasına,0.916666667,random_baseline,768,42,-0.035357423
peynir,karton,0.25,random_baseline,768,42,0.045325562
süreli,süresiz,0.083333333,random_baseline,768,42,-0.07059874
tutsak,özgür,0.083333333,random_baseline,768,42,-0.009131726
gevşek,heykel,0.166666667,random_baseline,768,42,-0.07413617
kamyon,sesteş,0.083333333,random_baseline,768,42,0.0314358
yiyecek,sos,2.666666667,random_baseline,768,42,0.010400953
modernite,ilkellik,0.25,random_baseline,768,42,-0.019201536
keşiş,kahin,3.083333333,random_baseline,768,42,0.037755527
turna,uygulamak,0.166666667,random_baseline,768,42,0.005804169
ormanlık,fotoğraf,0.416666667,random_baseline,768,42,-0.036321938
sosyalleştirdikleri,asosyalleştirdikleri,0.083333333,random_baseline,768,42,0.045684647
cinayetindeki,kemik,0.25,random_baseline,768,42,-0.017061453
masum,kuşku,0.416666667,random_baseline,768,42,0.08136614
delikanlı,büyücü,0.25,random_baseline,768,42,0.007842666
uzun,atletik,3.083333333,random_baseline,768,42,-0.034343757
deniz,sahil,5.0,random_baseline,768,42,-0.06774089
orman,meyve,1.416666667,random_baseline,768,42,0.06260382
hayat,nefes,3.083333333,random_baseline,768,42,0.014060709
mızrap,tabure,0.25,random_baseline,768,42,-0.014605928
sıcak,ısınmış,7.5,random_baseline,768,42,-0.01476158
gülüş,gülümseme,8.75,random_baseline,768,42,0.043311052
muz,gemicik,0.583333333,random_baseline,768,42,0.027817335
hukuk,hayat,0.416666667,random_baseline,768,42,-0.037374713
evetçiler,hayırcılar,0.0,random_baseline,768,42,-0.024912614
kamyon,manken,0.25,random_baseline,768,42,-0.012461873
terazi,adalet,2.0,random_baseline,768,42,0.03133228
sarsıcı,gençmişçesine,0.166666667,random_baseline,768,42,0.01743574
uzak,yakın,0.0,random_baseline,768,42,0.011220742
dükkan,vitrin,2.333333333,random_baseline,768,42,0.0005766563
nefes,oksijen,3.75,random_baseline,768,42,0.029503668
enginar,boza,0.75,random_baseline,768,42,0.010967656
giysi,külot,2.916666667,random_baseline,768,42,0.0043437793
deneyimleme,pratikleştirsin,1.916666667,random_baseline,768,42,0.010187365
sahil,ormanlık,0.666666667,random_baseline,768,42,-0.00338725
masum,öldürülüşündeki,0.25,random_baseline,768,42,-0.031849377
siyah,petrol,0.75,random_baseline,768,42,0.06030247
haşarı,enerjik,3.5,random_baseline,768,42,0.0809903
teizm,müzik,0.25,random_baseline,768,42,0.029764647
para,faiz,2.166666667,random_baseline,768,42,0.023152385
normalleşiyor,sabahlardaki,0.166666667,random_baseline,768,42,-0.003767373
atatürkçülerden,kemalizmcilerden,9.083333333,random_baseline,768,42,0.0011427659
alkol,viski,4.363636364,random_baseline,768,42,0.04116087
muhalefetçiler,iktidarcılar,0.083333333,random_baseline,768,42,0.04588673
horoz,tavuk,5.916666667,random_baseline,768,42,0.08704065
çerçeve,fotoğraf,2.916666667,random_baseline,768,42,-0.03211014
süt,lokanta,1.083333333,random_baseline,768,42,-0.063347325
tahta,tabure,1.583333333,random_baseline,768,42,-0.0241483
kağıt,karton,4.416666667,random_baseline,768,42,0.02011329
varlık,para,4.666666667,random_baseline,768,42,0.062335875
ses,sesteş,3.166666667,random_baseline,768,42,0.004086932
eksik,ilaç,0.166666667,random_baseline,768,42,0.043143906
eşya,cisim,5.166666667,random_baseline,768,42,0.025569156
haber,uzun,0.333333333,random_baseline,768,42,0.006684713
hayırcılar,barıştırılırken,0.166666667,random_baseline,768,42,-0.0006030537
pamuk,giysi,1.25,random_baseline,768,42,0.09055936
hamile,cenin,2.333333333,random_baseline,768,42,-0.00029125204
ispatım,almışlardır,0.181818182,random_baseline,768,42,0.0013318211
süt,yoğurt,3.833333333,random_baseline,768,42,0.018276054
cansız,enerjik,0.083333333,random_baseline,768,42,-0.024292134
sahil,kum,2.583333333,random_baseline,768,42,-0.0066196863
ses,mızrap,0.833333333,random_baseline,768,42,0.014896152
davadaş,ebediyeten,0.5,random_baseline,768,42,0.00867045
bitki,çiçek,4.416666667,random_baseline,768,42,-0.041454107
seyahat,sefer,5.583333333,random_baseline,768,42,0.004578046
yardım,aile,0.583333333,random_baseline,768,42,-0.028188968
petrol,yakıt,5.25,random_baseline,768,42,0.013343293
şair,modernite,0.583333333,random_baseline,768,42,0.029509371
gevşek,sıkı,0.0,random_baseline,768,42,0.016692072
cihaz,lamba,2.0,random_baseline,768,42,0.0026840232
din,devlet,0.5,random_baseline,768,42,-0.034629405
saldırmaktaydılar,suskunluğuna,0.166666667,random_baseline,768,42,-0.0028502624
nezle,yorgunluk,1.416666667,random_baseline,768,42,0.04798602
cevher,fotoğraf,0.25,random_baseline,768,42,0.0076994454
uzak,karınca,0.166666667,random_baseline,768,42,0.04435131
üşengeç,ebleh,0.583333333,random_baseline,768,42,0.053894706
yedigen,biçimlendirilmişlerdir,0.333333333,random_baseline,768,42,-0.019574916
bilimci,karışık,0.166666667,random_baseline,768,42,-0.05524236
medya,sevgili,0.25,random_baseline,768,42,0.017848074
biçimlendirilmişlerdir,iyiliyorsun,0.583333333,random_baseline,768,42,0.043967266
kırmızı,okul,0.166666667,random_baseline,768,42,-0.02445596
gülümseme,somurtma,0.0,random_baseline,768,42,-0.01890085
okul,kitaplıklar,1.333333333,random_baseline,768,42,-0.035800733
atatürkçülerden,palto,0.25,random_baseline,768,42,0.012562003
kadeh,bıçak,1.75,random_baseline,768,42,-0.008557515
özgür,haber,0.833333333,random_baseline,768,42,-0.0017550001
palto,kapüşon,2.666666667,random_baseline,768,42,0.068181
ibadet,namaz,4.25,random_baseline,768,42,0.009040616
soyut,somut,0.0,random_baseline,768,42,-0.008562304
süresiz,ebediyeten,7.416666667,random_baseline,768,42,-0.012244681
taşıt,kamyon,4.083333333,random_baseline,768,42,-0.0075448514
tren,yakıt,1.333333333,random_baseline,768,42,-0.05050183
yoldaş,keşiş,1.166666667,random_baseline,768,42,-0.024599038
horoz,sefer,0.25,random_baseline,768,42,-0.020282743
tabure,çerçeve,0.583333333,random_baseline,768,42,0.025369946
kordon,gülümseme,0.166666667,random_baseline,768,42,0.0500236
zeki,akıllı,6.0,random_baseline,768,42,0.013443683
gençmişçesine,yaşlıymışçasına,0.083333333,random_baseline,768,42,-0.06261726
nezle,ilaç,1.416666667,random_baseline,768,42,-0.031739112
ilaç,çare,4.333333333,random_baseline,768,42,0.009706078
devlet,para,0.75,random_baseline,768,42,0.008719359
kavramsallaştırsın,çocuk,0.333333333,random_baseline,768,42,0.0027360152
somurtma,kağıt,0.166666667,random_baseline,768,42,-0.021653473
evrensel,bilimci,0.25,random_baseline,768,42,-0.016092692
barınak,soğuk,0.416666667,random_baseline,768,42,-0.06817736
ilaç,yakıt,0.583333333,random_baseline,768,42,0.048445366
evetçiler,yağmur,0.166666667,random_baseline,768,42,-0.050037596
başlamadılarsa,düzenci,0.166666667,random_baseline,768,42,-0.05012303
devlet,memur,1.25,random_baseline,768,42,0.011139875
alkol,sofra,1.166666667,random_baseline,768,42,0.03901588
boza,manken,0.25,random_baseline,768,42,-0.074174985
cevher,gözlükçü,0.416666667,random_baseline,768,42,0.020542517
anne,memur,0.25,random_baseline,768,42,-0.026807072
oğlan,ilkellik,0.25,random_baseline,768,42,-0.023584299
dostçasına,arkadaşımsı,5.833333333,random_baseline,768,42,-0.000119501725
dua,yüzük,0.25,random_baseline,768,42,-0.00035565253
opak,geçirgen,2.5,random_baseline,768,42,0.050574876
akıllı,deli,0.083333333,random_baseline,768,42,0.019383356
din,dua,2.916666667,random_baseline,768,42,0.016671661
saydam,süreli,0.25,random_baseline,768,42,-0.043140914
yağcılık,heykel,0.25,random_baseline,768,42,0.043762412
maymungilleri,muz,1.666666667,random_baseline,768,42,0.030349314
oksijen,hayat,2.25,random_baseline,768,42,0.0063566305
hastane,çare,2.5,random_baseline,768,42,0.0881407
içki,boza,1.363636364,random_baseline,768,42,-0.027167039
tahta,ahşap,6.5,random_baseline,768,42,-0.028026469
kral,yağcılık,0.833333333,random_baseline,768,42,-0.004094815
teizm,inançlılık,5.25,random_baseline,768,42,-0.018238448
kordon,sicim,3.5,random_baseline,768,42,0.0069040745
fani,adalet,0.25,random_baseline,768,42,-0.0052567944
ikindi,oğlan,0.166666667,random_baseline,768,42,-0.029261427
deneyimleme,tecrübelenme,8.416666667,random_baseline,768,42,-0.0330746
satmışlardır,lokanta,0.166666667,random_baseline,768,42,0.018986505
kırmızı,namaz,0.166666667,random_baseline,768,42,-0.0032267459
mezarhane,kabristan,8.5,random_baseline,768,42,0.040994074
ekonomi,para,3.5,random_baseline,768,42,0.013798732
dua,namaz,4.166666667,random_baseline,768,42,-0.02631066
arkadaşımsı,kitaphane,0.333333333,random_baseline,768,42,-0.023202166
enerjik,yorgun,0.083333333,random_baseline,768,42,0.06510606
kağıt,gazete,2.0,random_baseline,768,42,-0.012126962
cihaz,radyo,2.5,random_baseline,768,42,0.033624448
kral,affedişi,0.166666667,random_baseline,768,42,-0.0108868405
yeni,gençmişçesine,1.25,random_baseline,768,42,0.025042877
öğrenci,hayta,0.833333333,random_baseline,768,42,-0.012024562
araba,petrol,1.416666667,random_baseline,768,42,0.043257244
şiddetli,sarsıcı,6.25,random_baseline,768,42,0.019334236
su,deniz,3.666666667,random_baseline,768,42,0.0063045835
başlamadılarsa,başladılarsa,0.0,random_baseline,768,42,0.034231286
normalleşiyor,anormalleşiyor,0.0,random_baseline,768,42,0.012002579
kan,kırmızı,1.833333333,random_baseline,768,42,0.03976187
beyaz,papatya,1.333333333,random_baseline,768,42,-0.031645905
kıyı,ormanlık,0.5,random_baseline,768,42,0.005142888
orman,kabristan,0.666666667,random_baseline,768,42,0.02095328
üşengen,harika,0.25,random_baseline,768,42,-0.039895546
normalleşiyor,ısınmış,0.166666667,random_baseline,768,42,0.011765268
radyo,müzik,3.583333333,random_baseline,768,42,0.006859799
suçlu,masum,0.0,random_baseline,768,42,0.007902169
erkekçene,yüreklicesine,3.583333333,random_baseline,768,42,0.06823465
ısınmış,barıştırılırken,0.666666667,random_baseline,768,42,-0.011439638
pratikleştirsin,kavramsallaştırsın,0.166666667,random_baseline,768,42,-0.03074366
televizyon,cenin,0.25,random_baseline,768,42,-0.02048624
pimpirikli,bıçak,0.166666667,random_baseline,768,42,-0.0067753484
mezarlık,ormanlık,1.083333333,random_baseline,768,42,-0.00620009
mutluluk,harika,2.0,random_baseline,768,42,-0.0019922145
hastane,rahatsız,2.166666667,random_baseline,768,42,0.0078796875
özgür,yardım,0.166666667,random_baseline,768,42,0.05783151
horultu,saray,0.25,random_baseline,768,42,0.022350859
üretim,sanatçı,1.166666667,random_baseline,768,42,-8.1159174e-05
peşinatsız,ekonomi,0.666666667,random_baseline,768,42,-0.029759163
mutfak,ocak,1.666666667,random_baseline,768,42,0.01504674
böcek,kelebek,2.5,random_baseline,768,42,-0.026999563
çenebazlığına,geçirgen,0.166666667,random_baseline,768,42,0.018453445
geçirgen,cam,1.166666667,random_baseline,768,42,-0.027724266
beyaz,külot,1.416666667,random_baseline,768,42,-0.028021395
tımarhane,deli,2.333333333,random_baseline,768,42,0.00568018
muhalefetçiler,kemalci,2.090909091,random_baseline,768,42,0.055870693
savaştırılırken,cezalandırışı,0.666666667,random_baseline,768,42,0.043153524
zaman,ikindi,1.833333333,random_baseline,768,42,-0.03541888
atatürkist,tecrübelenme,0.25,random_baseline,768,42,-0.033296686
lamba,geceleyin,1.333333333,random_baseline,768,42,-0.08974731
sabır,sabırsızlık,0.166666667,random_baseline,768,42,0.021236036
transparan,deneyimleme,0.166666667,random_baseline,768,42,0.06125159
haşarı,hayta,7.5,random_baseline,768,42,0.0767559
yiyecek,horoz,0.833333333,random_baseline,768,42,-0.05119601
yoğurt,inançlılık,0.25,random_baseline,768,42,0.014623361
kıtlıklarda,bolluklarda,0.0,random_baseline,768,42,0.026828408
siyah,beyaz,0.0,random_baseline,768,42,-0.01685626
otomobil,tren,4.0,random_baseline,768,42,0.084643304
mutluluk,sicim,0.25,random_baseline,768,42,0.061727267
fırın,ocak,6.666666667,random_baseline,768,42,0.038592912
ipek,kapüşon,0.833333333,random_baseline,768,42,-0.06534881
savunmaktaydılar,saldırmaktaydılar,1.0,random_baseline,768,42,0.017122585
bitki,enginar,2.916666667,random_baseline,768,42,-0.029159905
hukuk,nezle,0.25,random_baseline,768,42,0.021434959
horultu,gürültü,5.166666667,random_baseline,768,42,-0.010558498
süt,peynir,3.25,random_baseline,768,42,-0.056380786
bağışlayışı,cezalandırışı,0.083333333,random_baseline,768,42,-0.055158168
su,çiçek,0.916666667,random_baseline,768,42,0.00949992
taşıt,gemicik,2.666666667,random_baseline,768,42,-0.042369828
yiyecek,meyve,2.833333333,random_baseline,768,42,0.042776782
kuşku,şüphe,9.083333333,random_baseline,768,42,-0.046341192
çocuk,anne,2.166666667,random_baseline,768,42,-0.015821306
iyiliyorsun,kötülüyorsun,0.0,random_baseline,768,42,-0.015555114
şeffaf,saydam,8.5,random_baseline,768,42,-0.002537013
teizm,çerçeve,0.25,random_baseline,768,42,-0.022466639
anormalleşiyor,kapüşon,0.181818182,random_baseline,768,42,-0.074909665
sevgili,mutluluk,2.0,random_baseline,768,42,0.056246653
delilim,televizyon,0.166666667,random_baseline,768,42,-0.0013929904
sofra,bıçak,1.416666667,random_baseline,768,42,0.0062762825
ipek,gömlek,1.75,random_baseline,768,42,-0.0071447585
sanatçı,heykel,1.5,random_baseline,768,42,-0.033337217
medya,yağcılık,0.75,random_baseline,768,42,-0.035306577
din,ibadet,3.5,random_baseline,768,42,-0.021498367
tutsak,yakın,0.166666667,random_baseline,768,42,-0.008828927
zarar,para,0.666666667,random_baseline,768,42,-0.0047362223
ateistlik,sekülerizmciler,1.75,random_baseline,768,42,-0.028450059
sabahlardaki,kahvaltı,1.25,random_baseline,768,42,0.025084354
kadın,anne,3.583333333,random_baseline,768,42,-0.047153138
sabır,mühendis,0.333333333,random_baseline,768,42,0.026571687
yakın,sıkı,4.083333333,random_baseline,768,42,0.004336441
saray,kral,2.666666667,random_baseline,768,42,-0.029336391
damar,mezar,0.25,random_baseline,768,42,-0.060194463
kuyumcu,mücevher,2.5,random_baseline,768,42,0.10082407
müzik,ses,4.333333333,random_baseline,768,42,-0.04867184
alet,terazi,2.0,random_baseline,768,42,-0.029994894
kesintili,manavınkiler,0.166666667,random_baseline,768,42,0.006833018
cansız,ahşap,0.833333333,random_baseline,768,42,-0.005957436
otobüs,sefer,1.583333333,random_baseline,768,42,-0.016081542
kahvaltı,adalet,0.25,random_baseline,768,42,-0.0024197993
cam,büyücü,0.25,random_baseline,768,42,-0.0570055
anarşist,somurtma,0.166666667,random_baseline,768,42,-0.013354488
kıtlıklarda,tüketim,0.833333333,random_baseline,768,42,-0.0023089238
kitaphane,kitap,2.75,random_baseline,768,42,-0.091579504
kuşku,sabırsızlık,0.416666667,random_baseline,768,42,0.044635326
çiçek,papatya,3.333333333,random_baseline,768,42,0.04809295
manken,kelebek,0.25,random_baseline,768,42,0.017839005
ıslak,yağmur,1.833333333,random_baseline,768,42,-0.048739813
mühendis,üretim,1.166666667,random_baseline,768,42,0.021425486
süreli,ebediyeten,0.833333333,random_baseline,768,42,-0.007897969
cisim,cihaz,1.916666667,random_baseline,768,42,-0.023516467
korumaktaydılar,öldürülüşündeki,0.166666667,random_baseline,768,42,-0.0032351185
aile,somut,0.166666667,random_baseline,768,42,-0.02021364
ses,horultu,3.5,random_baseline,768,42,-0.04550139
sesteş,evetçiler,0.166666667,random_baseline,768,42,0.029543888
kemalci,kemalizmcilerden,5.25,random_baseline,768,42,-0.012129436
şiddetli,yorgunluk,0.333333333,random_baseline,768,42,0.0033785952
papatya,gülüş,0.333333333,random_baseline,768,42,0.011636851
ocak,kabristan,0.25,random_baseline,768,42,0.0069018137
tecrübelenme,alışkın,2.833333333,random_baseline,768,42,0.010194594
haşarı,pimpirikli,0.25,random_baseline,768,42,0.017951379
transparan,yoğurt,0.166666667,random_baseline,768,42,0.037818402
oruç,taksi,0.25,random_baseline,768,42,-0.027240919
kuyumcu,terazi,0.583333333,random_baseline,768,42,0.09359435
oğlan,delikanlı,4.666666667,random_baseline,768,42,0.04746794
mezarlık,tavuk,0.25,random_baseline,768,42,0.017909944
hamile,dükkan,0.25,random_baseline,768,42,0.029136937
primatçaları,zeki,0.166666667,random_baseline,768,42,0.015163224
hastane,tıp,2.5,random_baseline,768,42,-0.023195926
terazi,tıp,0.25,random_baseline,768,42,-0.009448467
avare,uyumlu,0.166666667,random_baseline,768,42,-0.04428927
sabırsızlık,gözlükçü,0.25,random_baseline,768,42,-0.016871614
kum,kadeh,0.416666667,random_baseline,768,42,-0.016755767
cinayetindeki,öldürülüşündeki,6.5,random_baseline,768,42,-0.0018350556
primatçaları,maymungilleri,6.333333333,random_baseline,768,42,0.01361895
sihirbaz,öncülük,0.25,random_baseline,768,42,-0.0044065183
kuş,tavuk,2.833333333,random_baseline,768,42,0.030306373
giysi,ceket,3.0,random_baseline,768,42,-0.04156667
pamuk,üretim,1.083333333,random_baseline,768,42,0.021534245
noksan,eksik,9.333333333,random_baseline,768,42,0.011296024
taşıt,otobüs,3.666666667,random_baseline,768,42,-0.06704103
eşya,radyo,2.083333333,random_baseline,768,42,-0.0018745135
satmışlardır,almışlardır,0.083333333,random_baseline,768,42,0.05205476
cihaz,televizyon,2.5,random_baseline,768,42,0.0009965878
suskunluğuna,brüt,0.166666667,random_baseline,768,42,0.03478302
suskunluğuna,konuşkanlığına,0.0,random_baseline,768,42,0.01634295
geceleyin,erkekçene,0.166666667,random_baseline,768,42,0.095184594
medya,kral,0.25,random_baseline,768,42,0.039269514
iyiliyorsun,pratikleştirsin,1.0,random_baseline,768,42,-0.084166944
şüphe,mutluluk,0.25,random_baseline,768,42,-0.02371092
memur,polis,3.583333333,random_baseline,768,42,0.016558684
meslek,kuyumcu,2.166666667,random_baseline,768,42,0.02296174
fırın,öncülük,0.25,random_baseline,768,42,0.018741673
eski,yaşlıymışçasına,1.833333333,random_baseline,768,42,0.013404696
masum,dostçasına,0.75,random_baseline,768,42,0.013445025
lokanta,dükkan,2.25,random_baseline,768,42,0.009229643
ebleh,akıllı,0.0,random_baseline,768,42,0.02441348
vitrin,televizyon,0.333333333,random_baseline,768,42,0.05597663
şeffaf,opak,1.166666667,random_baseline,768,42,-0.0059371796
dua,ölü,0.75,random_baseline,768,42,-0.046658665
yorgunluk,sarsıcı,0.333333333,random_baseline,768,42,0.008155836
davadaş,yoldaş,7.833333333,random_baseline,768,42,-6.631948e-06
özgür,serbest,6.75,random_baseline,768,42,-0.038274493
gözlük,cam,3.416666667,random_baseline,768,42,-0.028520247
vicdan,pıhtı,0.25,random_baseline,768,42,-0.10981384
gülüş,gül,1.833333333,random_baseline,768,42,-0.069672674
kahvaltı,zeytin,1.166666667,random_baseline,768,42,0.018010521
ceket,kapüşon,2.083333333,random_baseline,768,42,0.013171367
araba,seyahat,1.25,random_baseline,768,42,0.0010034125
evrensel,karışık,0.25,random_baseline,768,42,-0.027940704
beyaz,horultu,0.166666667,random_baseline,768,42,0.0298694
gürültü,müzik,2.166666667,random_baseline,768,42,0.022153724
taksi,yüzük,0.25,random_baseline,768,42,-0.027321853
başıboş,yorgun,0.25,random_baseline,768,42,-0.010947812
hayvan,kuş,3.0,random_baseline,768,42,0.07605271
opak,çamaşır,0.333333333,random_baseline,768,42,-0.056202814
kahin,şüphe,0.25,random_baseline,768,42,0.04306437
çenebazlığına,kirlice,0.166666667,random_baseline,768,42,-0.0025201216
serin,sıcak,0.083333333,random_baseline,768,42,0.03971859
inançlılık,ateistlik,0.666666667,random_baseline,768,42,0.07388839
konuşkanlığına,çenebazlığına,7.166666667,random_baseline,768,42,0.025340075
