triplet_id,vowel_class,category,primary_suffix,secondary_suffix,root_A,root_B,A_x,A_y,B_x,zipf_A,zipf_B,zipf_diff,A_x_BERTurk_ntokens,A_x_BERTurk_tokens,A_x_mBERT_ntokens,A_x_mBERT_tokens,A_x_XLM-R_ntokens,A_x_XLM-R_tokens,A_y_BERTurk_ntokens,A_y_BERTurk_tokens,A_y_mBERT_ntokens,A_y_mBERT_tokens,A_y_XLM-R_ntokens,A_y_XLM-R_tokens,B_x_BERTurk_ntokens,B_x_BERTurk_tokens,B_x_mBERT_ntokens,B_x_mBERT_tokens,B_x_XLM-R_ntokens,B_x_XLM-R_tokens,BERTurk_all_split,BERTurk_shared_final_subtoken
T017,ince,light_deriv,WITH,PLURAL,deniz,şehir,denizli,denizler,şehirli,5.39,5.34,0.05,2,deniz|##li,2,deniz|##li,2,▁deniz|li,2,deniz|##ler,2,deniz|##ler,2,▁deniz|ler,2,şehir|##li,2,şehir|##li,2,▁şehir|li,True,True
T018,ince,light_deriv,WITH,PLURAL,köpek,çiçek,köpekli,köpekler,çiçekli,4.98,4.92,0.06,2,köpek|##li,3,k|##öp|##ekli,2,▁köpek|li,1,köpekler,4,k|##öp|##ek|##ler,2,▁köpek|ler,2,çiçek|##li,4,ç|##i|##çe|##kli,2,▁çiçek|li,False,True
T019,ince,light_deriv,WITH,PLURAL,gemi,ekmek,gemili,gemiler,ekmekli,4.91,4.81,0.1,2,gemi|##li,3,ge|##mil|##i,2,▁gemi|li,1,gemiler,3,ge|##mile|##r,2,▁gemi|ler,2,ekmek|##li,3,ek|##mek|##li,3,▁ek|mek|li,False,True
T020,ince,light_deriv,WITH,PLURAL,göz,deniz,gözlü,gözler,denizli,5.47,5.39,0.08,1,gözlü,3,g|##öz|##lü,2,▁göz|lü,1,gözler,3,g|##öz|##ler,2,▁göz|ler,2,deniz|##li,2,deniz|##li,2,▁deniz|li,False,False
T021,ince,light_deriv,NOMINAL,PLURAL,ev,göz,evlik,evler,gözlük,5.57,5.47,0.1,2,evli|##k,2,ev|##lik,2,▁ev|lik,1,evler,2,ev|##ler,2,▁ev|ler,1,gözlük,3,g|##öz|##lük,2,▁göz|lük,False,False
T022,ince,light_deriv,NOMINAL,PLURAL,deniz,şehir,denizlik,denizler,şehirlik,5.39,5.34,0.05,2,deniz|##lik,2,deniz|##lik,2,▁deniz|lik,2,deniz|##ler,2,deniz|##ler,2,▁deniz|ler,2,şehir|##lik,2,şehir|##lik,2,▁şehir|lik,True,True
T023,ince,light_deriv,NOMINAL,PLURAL,köpek,çiçek,köpeklik,köpekler,çiçeklik,4.98,4.92,0.06,2,köpek|##lik,4,k|##öp|##ekli|##k,2,▁köpek|lik,1,köpekler,4,k|##öp|##ek|##ler,2,▁köpek|ler,2,çiçek|##lik,4,ç|##i|##çe|##klik,2,▁çiçek|lik,False,True
T024,ince,light_deriv,NOMINAL,PLURAL,gemi,ekmek,gemilik,gemiler,ekmeklik,4.91,4.81,0.1,2,gemi|##lik,3,ge|##mil|##ik,2,▁gemi|lik,1,gemiler,3,ge|##mile|##r,2,▁gemi|ler,2,ekmek|##lik,3,ek|##mek|##lik,3,▁ek|mek|lik,False,True
T025,ince,light_deriv,NOMINAL,PLURAL,göz,deniz,gözlük,gözler,denizlik,5.47,5.39,0.08,1,gözlük,3,g|##öz|##lük,2,▁göz|lük,1,gözler,3,g|##öz|##ler,2,▁göz|ler,2,deniz|##lik,2,deniz|##lik,2,▁deniz|lik,False,False
T026,ince,strong_deriv,WITHOUT,PLURAL,ev,göz,evsiz,evler,gözsüz,5.57,5.47,0.1,2,ev|##siz,2,ev|##siz,2,▁ev|siz,1,evler,2,ev|##ler,2,▁ev|ler,2,göz|##süz,4,g|##öz|##sü|##z,2,▁göz|süz,False,False
T027,ince,strong_deriv,WITHOUT,PLURAL,deniz,şehir,denizsiz,denizler,şehirsiz,5.39,5.34,0.05,2,deniz|##siz,2,deniz|##siz,2,▁deniz|siz,2,deniz|##ler,2,deniz|##ler,2,▁deniz|ler,2,şehir|##siz,2,şehir|##siz,2,▁şehir|siz,True,True
T028,ince,strong_deriv,WITHOUT,PLURAL,köpek,çiçek,köpeksiz,köpekler,çiçeksiz,4.98,4.92,0.06,2,köpek|##siz,4,k|##öp|##eksi|##z,2,▁köpek|siz,1,köpekler,4,k|##öp|##ek|##ler,2,▁köpek|ler,2,çiçek|##siz,5,ç|##i|##çe|##ksi|##z,2,▁çiçek|siz,False,True
T029,ince,strong_deriv,WITHOUT,PLURAL,gemi,ekmek,gemisiz,gemiler,ekmeksiz,4.91,4.81,0.1,2,gemisi|##z,3,ge|##misi|##z,2,▁gemi|siz,1,gemiler,3,ge|##mile|##r,2,▁gemi|ler,2,ekmek|##siz,3,ek|##mek|##siz,3,▁ek|mek|siz,False,False
T030,ince,strong_deriv,WITHOUT,PLURAL,göz,deniz,gözsüz,gözler,denizsiz,5.47,5.39,0.08,2,göz|##süz,4,g|##öz|##sü|##z,2,▁göz|süz,1,gözler,3,g|##öz|##ler,2,▁göz|ler,2,deniz|##siz,2,deniz|##siz,2,▁deniz|siz,False,False
T001,kalın,inflectional,PLURAL,LOCATIVE,kitap,okul,kitaplar,kitapta,okullar,5.41,5.32,0.09,1,kitaplar,2,kita|##plar,2,▁kitap|lar,1,kitapta,2,kita|##pta,2,▁kitap|ta,1,okullar,3,ok|##ulla|##r,2,▁okul|lar,False,False
T002,kalın,inflectional,PLURAL,LOCATIVE,kalp,taş,kalplar,kalpta,taşlar,5.14,5.13,0.01,2,kalp|##lar,3,ka|##lp|##lar,2,▁kalp|lar,2,kalp|##ta,3,ka|##lp|##ta,2,▁kalp|ta,1,taşlar,2,ta|##şlar,2,▁taş|lar,False,False
T003,kalın,inflectional,PLURAL,LOCATIVE,kapı,ayak,kapılar,kapıda,ayaklar,5.04,4.98,0.06,1,kapılar,2,kap|##ılar,2,▁kapı|lar,1,kapıda,2,kap|##ıda,2,▁kapı|da,1,ayaklar,2,aya|##klar,2,▁ayak|lar,False,False
T004,kalın,inflectional,PLURAL,LOCATIVE,kafa,masa,kafalar,kafada,masalar,4.93,4.56,0.37,2,kafa|##lar,3,ka|##fal|##ar,2,▁kafa|lar,2,kafa|##da,3,ka|##fa|##da,2,▁kafa|da,2,masal|##ar,2,masa|##lar,2,▁masa|lar,True,False
T005,kalın,inflectional,PLURAL,LOCATIVE,okul,kalp,okullar,okulda,kalplar,5.32,5.14,0.18,1,okullar,3,ok|##ulla|##r,2,▁okul|lar,1,okulda,3,ok|##uld|##a,2,▁okul|da,2,kalp|##lar,3,ka|##lp|##lar,2,▁kalp|lar,False,False
T006,kalın,inflectional,LOCATIVE,PLURAL,kitap,okul,kitapta,kitaplar,okulda,5.41,5.32,0.09,1,kitapta,2,kita|##pta,2,▁kitap|ta,1,kitaplar,2,kita|##plar,2,▁kitap|lar,1,okulda,3,ok|##uld|##a,2,▁okul|da,False,False
T007,kalın,inflectional,LOCATIVE,PLURAL,kalp,taş,kalpta,kalplar,taşta,5.14,5.13,0.01,2,kalp|##ta,3,ka|##lp|##ta,2,▁kalp|ta,2,kalp|##lar,3,ka|##lp|##lar,2,▁kalp|lar,2,taş|##ta,3,ta|##ş|##ta,2,▁taş|ta,True,True
T008,kalın,inflectional,LOCATIVE,PLURAL,kapı,ayak,kapıda,kapılar,ayakta,5.04,4.98,0.06,1,kapıda,2,kap|##ıda,2,▁kapı|da,1,kapılar,2,kap|##ılar,2,▁kapı|lar,1,ayakta,2,aya|##kta,2,▁ayak|ta,False,False
T009,kalın,inflectional,LOCATIVE,PLURAL,kafa,masa,kafada,kafalar,masada,4.93,4.56,0.37,2,kafa|##da,3,ka|##fa|##da,2,▁kafa|da,2,kafa|##lar,3,ka|##fal|##ar,2,▁kafa|lar,1,masada,2,masa|##da,2,▁masa|da,False,False
T010,kalın,inflectional,LOCATIVE,PLURAL,okul,kalp,okulda,okullar,kalpta,5.32,5.14,0.18,1,okulda,3,ok|##uld|##a,2,▁okul|da,1,okullar,3,ok|##ulla|##r,2,▁okul|lar,2,kalp|##ta,3,ka|##lp|##ta,2,▁kalp|ta,False,False
T011,kalın,inflectional,ABLATIVE,PLURAL,kitap,okul,kitaptan,kitaplar,okuldan,5.41,5.32,0.09,1,kitaptan,3,kita|##pta|##n,2,▁kitap|tan,1,kitaplar,2,kita|##plar,2,▁kitap|lar,1,okuldan,3,ok|##uld|##an,2,▁okul|dan,False,False
T012,kalın,inflectional,ABLATIVE,PLURAL,kalp,taş,kalptan,kalplar,taştan,5.14,5.13,0.01,2,kalp|##tan,3,ka|##lp|##tan,2,▁kalp|tan,2,kalp|##lar,3,ka|##lp|##lar,2,▁kalp|lar,2,taş|##tan,3,ta|##ş|##tan,2,▁taş|tan,True,True
T013,kalın,inflectional,ABLATIVE,PLURAL,kapı,ayak,kapıdan,kapılar,ayaktan,5.04,4.98,0.06,1,kapıdan,3,kap|##ıda|##n,2,▁kapı|dan,1,kapılar,2,kap|##ılar,2,▁kapı|lar,2,ayakta|##n,2,aya|##ktan,2,▁ayak|tan,False,False
T014,kalın,inflectional,ABLATIVE,PLURAL,kafa,masa,kafadan,kafalar,masadan,4.93,4.56,0.37,2,kafa|##dan,3,ka|##fa|##dan,2,▁kafa|dan,2,kafa|##lar,3,ka|##fal|##ar,2,▁kafa|lar,2,masada|##n,2,masa|##dan,2,▁masa|dan,True,False
T015,kalın,inflectional,ABLATIVE,PLURAL,okul,kalp,okuldan,okullar,kalptan,5.32,5.14,0.18,1,okuldan,3,ok|##uld|##an,2,▁okul|dan,1,okullar,3,ok|##ulla|##r,2,▁okul|lar,2,kalp|##tan,3,ka|##lp|##tan,2,▁kalp|tan,False,False
T016,kalın,light_deriv,WITH,PLURAL,kitap,okul,kitaplı,kitaplar,okullu,5.41,5.32,0.09,2,kitap|##lı,2,kita|##plı,2,▁kitap|lı,1,kitaplar,2,kita|##plar,2,▁kitap|lar,2,okul|##lu,3,ok|##ull|##u,2,▁okul|lu,False,False
T017,kalın,light_deriv,WITH,PLURAL,kalp,taş,kalplı,kalplar,taşlı,5.14,5.13,0.01,2,kalp|##lı,3,ka|##lp|##lı,2,▁kalp|lı,2,kalp|##lar,3,ka|##lp|##lar,2,▁kalp|lar,2,taş|##lı,3,ta|##ş|##lı,2,▁taş|lı,True,True
T018,kalın,light_deriv,WITH,PLURAL,kapı,ayak,kapılı,kapılar,ayaklı,5.04,4.98,0.06,2,kapı|##lı,2,kap|##ılı,2,▁kapı|lı,1,kapılar,2,kap|##ılar,2,▁kapı|lar,2,ayak|##lı,3,aya|##kl|##ı,2,▁ayak|lı,False,True
T019,kalın,light_deriv,WITH,PLURAL,kafa,masa,kafalı,kafalar,masalı,4.93,4.56,0.37,2,kafa|##lı,3,ka|##fal|##ı,2,▁kafa|lı,2,kafa|##lar,3,ka|##fal|##ar,2,▁kafa|lar,2,masal|##ı,2,masa|##lı,2,▁masa|lı,True,False
T020,kalın,light_deriv,WITH,PLURAL,okul,kalp,okullu,okullar,kalplı,5.32,5.14,0.18,2,okul|##lu,3,ok|##ull|##u,2,▁okul|lu,1,okullar,3,ok|##ulla|##r,2,▁okul|lar,2,kalp|##lı,3,ka|##lp|##lı,2,▁kalp|lı,False,False
T021,kalın,light_deriv,NOMINAL,PLURAL,kitap,okul,kitaplık,kitaplar,okulluk,5.41,5.32,0.09,2,kitap|##lık,3,kita|##plı|##k,2,▁kitap|lık,1,kitaplar,2,kita|##plar,2,▁kitap|lar,2,okul|##luk,3,ok|##ull|##uk,2,▁okul|luk,False,False
T022,kalın,light_deriv,NOMINAL,PLURAL,kalp,taş,kalplık,kalplar,taşlık,5.14,5.13,0.01,2,kalp|##lık,3,ka|##lp|##lık,2,▁kalp|lık,2,kalp|##lar,3,ka|##lp|##lar,2,▁kalp|lar,2,taş|##lık,3,ta|##ş|##lık,2,▁taş|lık,True,True
T023,kalın,light_deriv,NOMINAL,PLURAL,kapı,ayak,kapılık,kapılar,ayaklık,5.04,4.98,0.06,2,kapı|##lık,3,kap|##ılı|##k,2,▁kapı|lık,1,kapılar,2,kap|##ılar,2,▁kapı|lar,2,ayak|##lık,3,aya|##kl|##ık,2,▁ayak|lık,False,True
T024,kalın,light_deriv,NOMINAL,PLURAL,kafa,masa,kafalık,kafalar,masalık,4.93,4.56,0.37,2,kafa|##lık,3,ka|##fal|##ık,2,▁kafa|lık,2,kafa|##lar,3,ka|##fal|##ar,2,▁kafa|lar,2,masal|##ık,2,masa|##lık,2,▁masa|lık,True,False
T025,kalın,light_deriv,NOMINAL,PLURAL,okul,kalp,okulluk,okullar,kalplık,5.32,5.14,0.18,2,okul|##luk,3,ok|##ull|##uk,2,▁okul|luk,1,okullar,3,ok|##ulla|##r,2,▁okul|lar,2,kalp|##lık,3,ka|##lp|##lık,2,▁kalp|lık,False,False
T026,kalın,strong_deriv,WITHOUT,PLURAL,kitap,okul,kitapsız,kitaplar,okulsuz,5.41,5.32,0.09,2,kitap|##sız,3,kita|##ps|##ız,2,▁kitap|sız,1,kitaplar,2,kita|##plar,2,▁kitap|lar,2,okul|##suz,4,ok|##ul|##su|##z,2,▁okul|suz,False,False
T027,kalın,strong_deriv,WITHOUT,PLURAL,kalp,taş,kalpsız,kalplar,taşsız,5.14,5.13,0.01,2,kalp|##sız,3,ka|##lp|##sız,2,▁kalp|sız,2,kalp|##lar,3,ka|##lp|##lar,2,▁kalp|lar,2,taş|##sız,3,ta|##ş|##sız,2,▁taş|sız,True,True
T028,kalın,strong_deriv,WITHOUT,PLURAL,kapı,ayak,kapısız,kapılar,ayaksız,5.04,4.98,0.06,2,kapısı|##z,3,kap|##ısı|##z,2,▁kapısı|z,1,kapılar,2,kap|##ılar,2,▁kapı|lar,2,ayak|##sız,3,aya|##ks|##ız,2,▁ayak|sız,False,False
T029,kalın,strong_deriv,WITHOUT,PLURAL,kafa,masa,kafasız,kafalar,masasız,4.93,4.56,0.37,2,kafası|##z,3,ka|##fas|##ız,2,▁kafa|sız,2,kafa|##lar,3,ka|##fal|##ar,2,▁kafa|lar,2,masası|##z,2,masas|##ız,2,▁masa|sız,True,True
T030,kalın,strong_deriv,WITHOUT,PLURAL,okul,kalp,okulsuz,okullar,kalpsız,5.32,5.14,0.18,2,okul|##suz,4,ok|##ul|##su|##z,2,▁okul|suz,1,okullar,3,ok|##ulla|##r,2,▁okul|lar,2,kalp|##sız,3,ka|##lp|##sız,2,▁kalp|sız,False,False
